id,sjname,jingdu,weidu,phone,address,fax,cityid,orderby
1955,安徽中迪汽车销售服务有限公司,117.055907682,30.568826337,0556-5368888,安徽省安庆市宜秀区206国道北侧红光村境内（第五加油站旁）,,AH043,999
940,蚌埠市汇通汽车销售有限公司,117.361752,32.925082,0552-4117077,安徽省蚌埠市龙子湖区栖岩路33号,0552-4117277,AH022,999
1757,亳州市新梦迪汽车销售有限责任公司,115.792943,33.845566,0558-8888955,亳州谯城经济开发区春雨国际汽车城内,0558-8888955,AH018,999
1894,池州富林汽车销售有限公司,117.510127,30.621982,,池州市站前区池州国际汽车城1号楼106、107、122、123室,0562-2199799,AH068,999
1698,滁州东和泰昌汽车销售服务有限公司,118.314705,32.252318,0550-3535753,安微省滁州市丰乐大道2599号,0550-3042288,AH028,999
938,合肥新迪汽车销售服务有限公司,117.297376570,31.819853885,0551-63410588,合肥市东流路26号,0551-63433866,AH001,999
1579,安徽省骏迪汽车销售有限公司,117.336067,31.908537,0551-64392999,合肥市新站区铜陵北路与物流大道交叉口馥邦汽车城,0551-62795187,AH001,999
1745,淮北市迪安特汽车销售服务有限公司,116.801518,33.930724,0561-3191199,安徽省淮北市相山区骏驰路北寇湾商贸一条街1区1号,0561-3063816,AH010,999
1906,淮南市宏迪汽车服务有限公司,117.073039,32.665518,0554-6438797,淮南市田家庵区国庆东路淮南国际汽配城19栋,0554-6438797,AH026,999
1607,安徽金迪汽车销售服务有限公司,116.617069,31.767596,0564-3837676,安徽金安经济开发区（312国道旁）,0564-3837272,AH057,999
1730,马鞍山市顺迪汽车销售服务有限公司,118.505267,31.645468,0555-8362666,马鞍山市经济技术开发区湖西南路8号,0555-8362158,AH035,999
1972,芜湖路骐汽车销售有限公司,121.584256,31.303352,0553-6361588,安徽省芜湖市无为县无城镇黄汰村,,AH037,999
1893,宣城丰迪汽车销售服务有限公司,118.731028,30.944585,0563-2021123,安徽省宣城市宣州区经济技术开发区玉荷路9号,0563-2021123,AH072,999
953,北京鑫敏恒汽车销售有限公司,116.349042795,39.786244582,010-60291959,北京市大兴区西红门镇宏旭路2号（西红门南桥西侧）,010-60291907,BJ001,999
955,北京福铃丰瑞汽车销售有限公司,116.310374178,39.818273155,010-83704725/010-83704730,北京市丰台区郭公庄608号北院,010-83704735,BJ001,999
959,北京环耀汽车服务有限公司,116.448287164,40.036474268,010-84912588/010-84912589,北京市朝阳区来广营乡朝来农艺园西门,010-84806870/010-84806791,BJ001,999
961,北京军鹏伟业汽车销售有限公司,116.271473909,39.953842083,010-88457098,北京市海淀区四季青常润路1号,010-88434335,BJ001,999
962,北京润城汽车维修有限公司,116.112815271,39.727017336,010-89317680,北京市房山区阎村镇炒米店村一街甲一号,010-89318720,BJ001,999
965,北京天通利华汽车修理有限公司,116.443889140,40.086920340,010-80787200/010-80787201,北京市昌平区北七家镇燕丹村西大水库南侧,010-80787202,BJ001,999
966,北京鹏天奥汽车销售有限公司,116.223024850,39.938130123,010-88702050,北京市海淀区廖公庄村国金院东侧平房,010-88703870,BJ001,999
968,北京鑫敏恒瑞鑫汽车销售有限公司,116.3389,40.054704,010-53578616/53578618,北京市海淀区安宁北路昌平路临831-内2,010-53578611,BJ001,999
1699,北京市北方瑞鹏汽车服务有限公司,116.703406,39.872203,010-81512388,北京市通州区张家湾镇土桥村西（北院）10幢,010-81510788,BJ001,999
1819,北京盛世路骐汽车销售有限公司,116.494408,39.861807,,北京市朝阳区东四环南路56号D座101室,,BJ001,999
1886,北京欣太新能源汽车销售服务有限公司,116.548695,39.86862,010-53653488,北京市朝阳区王四营乡孛罗营村东,010-87885080,BJ001,999
1913,北京庞大兴迪汽车销售服务有限公司,,,010-60691789,北京市怀柔区庙城镇焦村（京承高速路怀柔出口西100米）,010-60691789,BJ001,999
990,福建省美嘉鑫迪贸易有限公司,119.35398,26.019937,0591-88303355/88998110,福州市仓山区建新镇红江路6号金山工业区C区18#楼一层,0591-83461229,FJ001,999
1855,福州市盛世开元汽车销售有限公司,119.310319,26.127845,0591-83540000,福州市晋安区新店镇浮村北三环金城福园东面,0591-87916237,FJ001,999
1581,福建龙迪鑫汽车销售服务有限公司,116.964839,25.105065,0597-3309777,福建省龙岩市新罗区龙门镇物流大道316号,0597-3309772,FJ053,999
1910,宁德市乾元新景汽车销售有限公司,119.54772,26.646417,0593-2893355,福建省宁德市蕉城区鹤鸣路永升汽车城3号展厅,0593-2893355,FJ060,999
982,莆田市亿豪汽车贸易有限公司,119.083182538,25.474649076,0594-3131888,莆田市涵江区白塘镇埭里村城涵大道3399号,0594-3131999,FJ031,999
979,泉州鸿鑫汽车销售服务有限公司,118.527095126,24.913126904,0595-28270555,4S店地址：福建省泉州市鲤城区南环路神舟通大厦,0595-22359559,FJ033,999
981,福建省国安锦轮汽车贸易有限责任公司,118.598735381,24.778170379,0595-82878555,福建省晋江市新塘街道石泉公路后洋路段锦轮汽车城内,0595-82106288,FJ033,999
988,福建省粤迪汽车销售有限公司,118.557762175,24.880038498,0595-29015678,泉州经济技术开发区清濛园区1-2（D）（F）迎宾大道旁,0595-29015001,FJ033,999
977,三明市万通经贸有限公司,117.657135831,26.297610885,0598-8290660,三明市翁墩物流园汽车集中区,0598-8587389,FJ020,999
1705,厦门市佳凯盛汽车贸易有限公司,118.155089324,24.545764439,0592-5797111,厦门市湖里区高崎北路436号,0592-5797129,FJ042,999
1794,厦门市盛世开元汽车销售有限公司,118.022581,24.494666,,厦门市海沧区马青路1283号一层01及夹层,,FJ042,999
1700,漳州华骏天捷汽车贸易有限公司,117.72996,24.537411,0596-2178858,漳州市蓝田经济开发区龙文园区工业大道以东,0596-2178858,FJ043,999
1934,白银盛世开元汽车销售服务有限公司,104.131305,36.519045,0943-8293299,甘肃省白银市白银区中小企业创业基地内白银天驰盛达汽车城2-1,,GS008,999
1821,定西盛世开元汽车销售有限公司,104.644456,35.546294,0932-8326668 ,定西市安定区南川物流园6号楼,,GS082,999
1051,酒泉新运通汽车出租有限公司销售分公司,98.439841396,39.766425306,0937-6962228/6962226/13909377117,酒泉市西郊工业园西石滩<124-66>,0937-2856011,GS022,999
1049,甘肃泓通汽车服务有限公司,103.691962453,36.097129283,0931-8324666/8310588,甘肃省兰州市七里河区南滨河西路1399号,0931-2687600,GS001,999
1053,甘肃永宁汽车销售服务有限公司,103.722736,36.097917,0931-7612888,兰州市安宁经济技术开发区银滩大桥东北侧,0931-7613533,GS001,999
1795,兰州盛世开元汽车销售有限公司,103.638169,36.14466,0931-6170365,甘肃省兰州市安宁区北滨河西路88号,0931-6170360,GS001,999
1690,平凉市时代恒星汽贸有限责任公司,106.635178,35.572397,0933-8882777,平凉市崆峒区八里桥以西，国道312线以南、区间路以北（右邻长安汽车4S店）,0933-8353968,gs081,999
1775,庆阳陇迪汽车销售有限公司,107.632817,35.75472,0934-6661010,庆阳市西峰区古象西路北侧（西环路与古象西路丁字路口往东160米）,0934-6668901,gs079,999
1047,天水银通汽车贸易有限责任公司,105.726470773,34.579619906,0938-8386433,甘肃省天水市东十里工业园区,0938-8386433,GS012,999
1003,东莞市周通泰汽车贸易有限公司,113.971818153,22.967138737,0769-81091188,东莞市常平镇环城路,0769-83332030,GD057,999
1006,东莞市建鹏汽车销售有限公司,113.847868887,23.099383585,0769-86643888/0769-86861628,东莞市茶山镇京山村,0769-81805778,GD057,999
