id,name,telphone,address,city-region,city,province-region,province,place
638,北京雅胜天成汽车销售有限责任公司,010-83825858,北京市丰台区小屯双林东路,110000,北京市,2,北京,"39.87877,116.2639"
693,北京广大行汽车服务有限责任公司,010-67672288,北京市朝阳区南四环东路49号,110000,北京市,2,北京,"39.840672392,116.4691371125"
786,北京汉青鸿宇商贸有限公司,010-57033993,北京市房山区城关街道顾八路一区2号,110000,北京市,2,北京,"39.71244133,116.0218965"
871,北京金佳景汽车销售有限公司,010-88452266,北京市海淀区闵庄路16号,110000,北京市,2,北京,"39.9787191,116.261923"
872,北京津丰华北汽车贸易有限公司,010-68817935,北京市石景山区古城西路63号 北京国际汽车贸易服务园区D厅,110000,北京市,2,北京,"39.921634,116.189807"
873,北京勤华瑞达汽车销售服务有限公司,010-85576735/85576738,北京市朝阳区姚家园路甲1号(东方基业汽车城内18号店),110000,北京市,2,北京,"39.946093,116.531685"
903,北京中德汽车销售有限公司,010-84918118-1,北京市朝阳区来广营西路26号,110000,北京市,2,北京,"40.027594,116.454019"
914,北京中企欣源汽车销售服务有限公司,010-63513466,北京市丰台区南三环西路43号,110000,北京市,2,北京,"39.857898,116.359856"
1145,北京鑫达汇城汽车销售服务有限公司,010-89098886,北京市密云县十里堡彩虹门北侧,110000,北京市,2,北京,"40.36287,116.803852"
1180,北京金进通汽车销售服务有限公司,010-80863599,北京市通州区永顺镇乔庄村351号,110000,北京市,2,北京,"39.894321,116.710341"
656,上海马轩汽车销售服务有限公司,021-62555559,上海市闵行区纪鹤路488号（近联友路）,310000,上海市,24,上海,"31.249854,121.263656"
762,上海红申汽车销售服务有限公司,021-50893033/ 021-50891007,上海市浦东新区航津路186号,310000,上海市,24,上海,"31.336767,121.584872"
764,上海申悦汽车销售服务有限公司,021-58586655,上海市浦东新区川沙路3295号,310000,上海市,24,上海,"31.228372,121.695871"
837,上海绅亚汽车销售服务有限公司,021-54338428,中春路（沪青平路）9998号,310000,上海市,24,上海,"31.173205,121.336101"
897,上海起亚交运汽车销售服务有限公司,021-54095588,上海市龙吴路908号,310000,上海市,24,上海,"31.157558,121.457528"
935,上海绅协绅起汽车销售服务有限公司,021-62502188,上海市普陀区真南路2165号,310000,上海市,24,上海,"31.2881199,121.371668"
936,上海东悦汽车销售服务有限公司,021-66985700,上海市宝山区江杨南路1008号,310000,上海市,24,上海,"31.331697,121.47345"
945,上海红悦汽车销售服务有限公司,021-68041177,上海市沪南路4789弄3幢304－311号(上海车市内),310000,上海市,24,上海,"31.075195,121.595912"
1019,上海明锐汽车销售服务有限公司,021-67222189,上海市金山区金山大道4298弄38号,310000,上海市,24,上海,"30.735695,121.304935"
1083,上海宝通赢汽车销售服务有限公司,021-33709280,上海市宝山区月罗路1563号,310000,上海市,24,上海,"31.422976,121.381436"
1107,上海弘宇汽车销售服务有限公司,021-37572000,上海市奉贤区南桥镇环城西路1488号,310000,上海市,24,上海,"30.9622564,121.449532"
1181,上海红诚汽车销售服务有限公司,021-31272200,上海市嘉定区江桥镇翔江公路1699号,310000,上海市,24,上海,"31.042486,121.732281"
761,天津市宇东达亚汽车贸易有限公司,022-68623000,天津市静海开发区金海道2号,120000,天津市,25,天津,"38.953779,117.006186"
796,天津利源祥汽车销售有限公司,022-82843333,天津蓟县中昌南路翠屏山路口西,120000,天津市,25,天津,"40.002885,117.424847"
831,奥嘉起亚（天津）商贸有限公司,022-27909111 022-27909333,天津市西青区中北镇卉康路5号（天津汽车城）,120000,天津市,25,天津,"39.122091,117.095214"
874,天津银诺威臣汽车销售服务有限公司,022-26725959,天津市北辰区新宜白大道南,120000,天津市,25,天津,"39.214834,117.222554"
