index,code,regional,area,province,proid,city,cityid,cityurl,address,name,referred,mobile,tel,zipcode,isopen,lng,lat,lever,url,id
1,CH1000,7,七区,上海市,310000,上海市,310100,shanghai,上海市浦东新区御桥路1468号,上海东昌雪莱汽车销售服务有限公司,上海东昌雪莱,13671824445,021-68937999,201204,1,121.560278,31.156389,5,shdcxl,142
2,CH1001,7,七区,上海市,310000,上海市,310100,shanghai,上海市金山区朱泾镇亭枫公路2468号2幢,上海弘昆汽车销售服务有限公司,上海弘昆,13701937603,021-67965203,201503,1,121.221944,30.894444,0,shhk,763
3,CH1007,7,七区,上海市,310000,上海市,310100,shanghai,上海市市辖区浦东新区莱阳路2928弄30号,上海浦兴汽车销售服务有限公司,上海浦兴,,021-58678800,200137,1,121.976667,31.538611,,shpx,963
1,CH1008,2,二区,山西省,140000,运城市,140800,yuncheng,运城市盐湖区运万路高速引线交界处,运城市元通雪润汽车销售服务有限公司,元通雪润,15333099499,0359-6368222,044000,1,110.954722,35.087222,0,ycytxr,759
1,CH1009,6,六区,云南省,530000,保山市,530500,baoshan,云南省保山市隆阳区永昌街道下村工业园区（龙马药业仓库）,保山融易通汽车服务有限公司,保山融易通,,0875-2833111,678000,1,99.196111,25.14,,bsryt,805
4,CH1011,7,七区,上海市,310000,上海市,310100,shanghai,上海市浦东新区龙东大道2777号,上海永达宝运来汽车销售服务有限公司,上海永达宝运来,13795269023,021-58960011,201203,1,121.629444,31.224167,5,shydbyl,147
5,CH1012,7,七区,上海市,310000,上海市,310100,shanghai,上海市松江区俞塘路555号,上海永达通盛汽车销售服务有限公司,上海永达通盛,13701901527,021-67761088,201613,1,121.249167,31.02,0,shydts,135
6,CH1013,7,七区,上海市,310000,上海市,310100,shanghai,上海市浦东新区惠南镇大川公路3099号,上海永达通宁汽车销售服务有限公司,上海永达通宁,13774480392,021-68009789,201300,1,121.734444,31.0425,5,shydtn,143
1,CH1018,2,二区,天津市,120000,天津市,120100,tianjin,天津市宝坻区机动车交易市场西500米,天津市海润通汽车贸易有限公司,天津海润通,15320091310,022-59952929,301800,1,117.333333,39.708889,5,tjhrt,787
1,CH1019,6,六区,四川省,510000,宜宾市,511500,yibin,四川省宜宾市二二四城北新区奋发路德福汽车城,宜宾市宏建汽车销售服务有限公司,宜宾宏建,18508314401,0831-5513000,644600,1,104.544167,28.731111,4,ybhj,809
7,CH1020,7,七区,上海市,310000,上海市,310100,shanghai,上海市铜川路1366号101-105室,上海安吉名门汽车服务有限公司,上海安吉名门,18121063355,021-52823902,200333,1,121.394722,31.251111,5,shajmm,151
