id,name,lng,lat,province,city,address,phone_service,phone_seal,website,phone
294,北京三元桥,116.456547,39.962357,北京,北京,北京市朝阳区左家庄路2号,010-84541072|010-84541073,010-84541077|010-84541078,bjsyq,
295,北京花乡桥,116.320340,39.834984,北京,北京,北京市大兴区海鑫北路9号,010-61260799,010-61260988,bjhxq,
296,北京方庄,116.428819,39.865877,北京,北京,北京市丰台区蒲黄榆路48号,010-67630606,010-87610750|010-87610751,bjfz,
297,北京首汽,116.495005,39.965054,北京,北京,北京市朝阳区亮马桥路9号,010-64374008,010-64365852,jbsq,
298,北京金冠兴业,116.264481,39.978825,北京,北京,北京市海淀区闵庄路6号(西北四环“香山、玉泉山”出口西行1公里红绿灯左转路南),010-88890606,010-88890601|010-88890602,bjjgxy,
299,北京奥德行,116.361079,39.858293,北京,北京,丰台区南三环西路39号,010-83520100,010-83520100,bjadh,
300,北京广通,116.367108,40.021562,北京,北京,北京市朝阳区德外花虎沟20号,010-62916666,010-62916666,bjgt,
301,北京凯百隆,116.259723,40.058315,北京,北京,北京市海淀区西北旺镇永丰路百旺绿谷汽车园,010-82402677,010-82402662,bjkbl,
302,北京五方桥,116.553052,39.870478,北京,北京,北京市朝阳区京沈高速五方桥西南侧,010-87390099,010-87390011,bjwfq,
303,北京中业,116.353758,39.833822,北京,北京,北京市丰台区南四环中路260号(马家楼桥东南角),010-87504020,010-87500088,bjzy,
304,北京苹果园,116.188917,39.930835,北京,北京,北京市石景山区阜石路175号,010-68829886转8105/6/7/15,010-68888200|010-68829886转8101|0,bjpgy,
305,北京东仁天宇,116.579403,39.944862,北京,北京,北京市朝阳区平房乡石各庄村甲1号,010-65469600<br>010-65469630,010-65469090|010-65469191,bjdrty,
306,北京花园桥,116.317117,39.937244,北京,北京,北京市海淀区车公庄西路38号(花园桥东南角),010-68713131,010-68728888-销售部,bjhyq,
310,北京运通博裕,116.512318,39.818854,北京,北京,北京经济技术开发区文化园东路乙6号,010-67862966|010-67865102,010-67862866|010-67864866,bjytby,
311,北京华通,116.661334,39.896172,北京,北京,北京市通州区梨园九棵树西路11号,010-81521020|010-81521622,010-81520315|010-81520915,bjht,
312,北京迎宾中升,116.243307,39.931795,北京,北京,北京市海淀区阜石路63号,010-88208080|转605/609|010-68179915,010-88208080转601|603,bjsh,
315,北京北苑,116.442338,40.028313,北京,北京,北京市朝阳区来广营西路95号,010-84921026|010-84922303,010-84928566|010-84921325,bjby,
466,北京博丰长久,116.601311,40.130502,北京,北京,北京市顺义区空港物流基地顺航路18号(顺航路东侧)一汽丰田4S店,010-69450695,010-69479998,bjbfcj,
736,北京北苑怀柔分店,116.647759,40.295007,北京,北京,怀柔区庙城镇高两河村346号,010-60699306,010-60699302,bjby_hr,
737,北京凯百隆昌平分店,116.259823,40.058116,北京,北京,北京市海淀区西北旺永丰路百旺绿谷汽车园北京凯百隆丰田,010-82402680,010-82402680,kbl_cp,
231,天津柳林,117.300274,39.069745,天津,天津,天津市河西区大沽南路南头,022-88180123/88180666,022-88180808|88288772,tjll,
232,天津东联,117.374550,39.166917,天津,天津,天津市东丽区空港物流经济区环河北路18号,022-84905518,022-84905522,tjdl,
233,天津中乒,117.214235,39.211665,天津,天津,天津市北辰区普济河东路/道20号(万科新城旁),26727243   26727245,26727246 26727247,tjzp,
234,天津华苑,117.133815,39.097851,天津,天津,天津市华苑产业区梅苑路10号,022-83715888 022-83715222,022-83715666,tjhuayuan,
236,天津浩物,117.661390,39.000938,天津,天津,天津市塘沽区河南路1376号,022-25380000,022-25380777|022-25380555,tjhw,
237,天津和裕,117.202311,39.047925,天津,天津,天津市卫津南路299号(外环线内200米),022-24033699,022-24033543,tjhy,
344,天津柳林金海,117.007259,38.953647,天津,天津,天津市静海经济开发区金海道与津文公路交口,022-68608111,022-68608111,tjlljh,
373,天津奥嘉,117.093562,39.338272,天津,天津,天津市武清区下朱庄街京津公路东侧,022-59691566|022-59691577,022-59692266|022-59692288,tjaj,
494,天津奥德行津盛,117.384375,38.985947,天津,天津,天津市津南区咸水沽镇津歧路69号,022-28766000,022-28766588,tjadhjs,
540,天津庞大丰雅,117.122369,39.260762,天津,天津,天津市北辰区双街镇京津公路东侧双江道南,022-86907120,022-86907111,tjpdfy,
834,天津奥德行宝坻分店,117.348072,39.716530,天津,天津,天津市宝坻区南环东路南侧（机动车交易市场西区）,022-59950109,022-59210123 ,tjadhjs_bd,
966,天津凯达<em style='color:red;font-style:normal;'>【暂停服务】</em>,117.724367,39.045523,天津,天津,天津开发区第五大街63号,022-66293300,022-66298771,tjkd,
968,天津奥德行津盛蓟州分店,117.424214,40.035532,天津,天津,天津市蓟州区渔阳镇中昌北大道430号,,022-29185788 |022-29135788|022-29192828,tjadhjs_jz,
