code,name,type,address,postcode,fax,tel1,telservice,tel24,hasImport,email,callcenter,blacklist,lng,lat,星级数量,星级级别,信用积分,点评数,推荐率,推荐数,服务态度,服务同城,服务水平,办事效率,办事同城,办事水平,专业技能,专业同城,专业水平,诚信可靠,诚信同城,诚信水平,好评率,好评数,差评率,差评数
3031101,河津市彩虹汽车贸易有限公司,直营店,山西省河津市东都商城西六区,043300,0359-6388585,/,0359-6388777,0359-6388588,0359-6388585,Svw0417@vip.163.com,0359-6388588,0359-6388585,110.70841,35.57587,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3031104,彩虹申联万荣县销售店,专营店,山西省运城市万荣县孤峰街人民公园斜对面,044200,0359-4522232,/,0359-8726888,0359-8726851,0359-4522232,/,0359-8726851,0359-4522232,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3031111,彩虹申联绛县销售店,专营店,运城市绛县沁水东线涑水大街,043600,/,/,0359-2388858,0359-2388878,/,/,0359-2388878,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3031110,平陆县威武商贸有限公司,专营店,山西省运城市平陆县开发区康乐橡塑科技开发公司办公楼一楼,044300,/,/,0359-3552789,0359-3552389,/,/,0359-3552389,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3031105,芮城县天博汽车销售有限公司,专营店,山西省运城市芮城县洞宾西街,044600,/,/,0359-3027793,0359-3027794,/,/,0359-3027794,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3031107,稷山县腾鸿汽贸销售有限公司,专营店,山西省运城市稷山县城108国道南,O43200,0359-5558999,/,0359-5558999,0359-5523588,0359-5558999,/,0359-5523588,0359-5558999,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3031108,新绛县慧辉汽贸有限公司,专营店,山西省运城市新绛县108国道狄庄村口北,043100,0359-7602500,/,0359-7602500,0359-7601500,0359-7602500,/,0359-7601500,0359-7602500,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3031109,垣曲县思君汽修服务中心,专营店,山西省运城市垣曲县气象局对面,043700,/,/,0359-6027233,0359-6027266,/,/,0359-6027266,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3031106,山西省彩虹汽车贸易集团有限公司闻喜分公司,专营店,山西省运城市闻喜县东宋村口南50米,043800,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2031102,运城市韩大汽车销售服务有限公司,4S店,山西省运城市盐湖区圣惠南路300号,044000,0359-2126167,/,0359-2192271,0359-2123988,0359-2126167,svw0408@126.com,0359-2123988,0359-2126167,110.97871,35.032492,2,2,824,897,97.65,876,9.6,3.5,下,9.4,4.53,下,9.6,2.11,下,9.5,3.13,下,93.42,838,.78,7
