name,address,tel,city,province
北京鹏翰贸易有限公司 ,北京市海淀区杏石口路49号,010-88463607,北京市,北京市
天津市紫金双盛汽车销售服务有限公司 ,天津市河西区紫金山路53号,022-58792250 022-58791900,天津市,天津市
河北盛威汽车贸易有限公司 ,河北省石家庄市北二环东路86号（北二环与建华大街交叉口东行200米路南 国际汽车园区）,0311-85669766,石家庄市,河北省
唐山市冀东通汽车销售服务有限公司 ,河北省唐山市路南区吉祥路19号,0315-2963888,唐山市,河北省
秦皇岛庞大雄狮汽车销售服务有限公司 ,河北省秦皇岛市经济技术开发区峨眉山北路以西（庞大汽车园内）,0335-8579777,秦皇岛市,河北省
邯郸市庞大龙腾汽车销售服务有限公司 ,邯郸市开发区起步区世纪大街北段西侧,0310-8166789,邯郸市,河北省
邢台昌龙汽车服务有限公司 ,河北省邢台市桥西区邢州大道2332号蓝池集团昌龙标致4S店,0319-2619111,邢台市,河北省
保定市中冀威狮汽车贸易有限公司 ,河北省保定市七一东路2456号中冀汽车广场,0312- 3355700 5999088,保定市,河北省
张家口市九福汽车销售服务有限公司 ,河北省张家口市桥东区胜利中路202号,0313-4070899,张家口市,河北省
承德万狮汽车销售有限公司 ,承德市双滦区狮子园路17号,0314-5988888,承德市,河北省
沧州运生汽车销售服务有限公司 ,沧州市新华区津德路石油北库北5号,0317-3525000,沧州市,河北省
廊坊日泽昌汽车销售有限公司 ,廊坊开发区金源道92号(交警支队西）廊大汽车城内,0316-7195555,廊坊市,河北省
衡水市庞大龙腾汽车销售服务有限公司 ,衡水市开发区胜利西路2088号2栋1层,0318-5171999,衡水市,河北省
山西昌安达汽车销售服务有限公司 ,山西省太原市新晋祠路甲40号,0351-5242555,太原市,山西省
大同市钢致汽车销售有限公司 ,大同市南郊区南环路西延段东侧庞大汽车园区45号店,0352-2399380、2399381,大同市,山西省
阳泉市欣通承达汽车销售服务有限公司 ,山西省阳泉市矿区桃北中路74号,0353-4196111,阳泉市,山西省
长治市福联汽车销售服务有限公司 ,长治市北外环关村工程机械汽贸城内,0355-2120008,长治市,山西省
晋城市宏运杰汽车销售有限公司 ,山西省晋城市城区中原街660号,0356-3034999,晋城市,山西省
介休市大康汽贸有限公司 ,晋中市介休市北坛东路宋古村南,0354-7059059,晋中市,山西省
山西诺维兰集团运城瑞恒汽车销售服务有限公司 ,运城市盐湖工业园区南风大道三号,0359-8715551,运城市,山西省
忻州市忻府区金坤汽车贸易有限公司 ,山西省忻州市开发区忻顿路东汽车城东风标致,0350-3338889,忻州市,山西省
临汾临运尧辉汽车销售服务有限公司 ,临汾市尧都区向阳路1号,0357-2120808,临汾市,山西省
内蒙古泰隆汽车服务有限公司 ,内蒙古呼和浩特市金海路利丰汽车文化广场,0471-3388228,呼和浩特市,内蒙古自治区
包头市金陆汽车销售服务有限公司 ,内蒙古包头稀土高新区稀土路4号恒通汽车城东风标致4S店,0472-5130900,包头市,内蒙古自治区
赤峰晟源汽车服务有限责任公司 ,内蒙古自治区赤峰市红山区北环路九中东侧,0476-8221210,赤峰市,内蒙古自治区
通辽市万庆汽车销售服务有限公司 ,通辽经济技术开发区河西街道办事处A区,0475-8883337,通辽市,内蒙古自治区
鄂尔多斯市成兴汽车有限公司 ,鄂尔多斯市东胜区铜川镇和兴汽车城,0477-8101819,鄂尔多斯市,内蒙古自治区
