id,name,telphone,address,city-region,city,province-region,province,place
10483,连振高超房山店,,北京市房山区城关街道兴东大街135号,12122,,,,"116.016812,39.709906"
10484,东方金硕欧德宝店,,北京市昌平区回龙观欧德宝国际汽车城汽车大道九展厅2号,12122,,,,"116.31778,40.077502"
10485,瑞通嘉业望京桥店,,北京市朝阳区望京桥十字口甲39号,12122,,,,"116.461986,39.989163"
11404,北京京汉新港汽车销售服务有限公司,010-67521678,北京市丰台区南三环西路甲2号,12122,,,,"116.385489,39.862775"
11405,北京鹏奥贸易有限公司,010-62856619,北京市海淀区巨山路99-4号（合盛汽车园）,12122,,,," 116.239109,39.952913"
11406,北京市信发通达汽车销售有限公司,010-63734867,北京市丰台区花乡辛庄86号,12122,,,,"116.31894,39.841856"
11407,北京燕盛隆汽车维修有限公司,010-67477263,北京市朝阳区十八里店乡十八里店村876号,12122,,,,"116.489591,39.853712"
11408,北京胜鸿都汽车销售服务有限公司,010-64391885/010-64392288,北京市朝阳区利泽东园306号,12122,,,,"116.486409,40.019577"
11409,北京博伟恒业特约销售服务店,010-67605001,北京市朝阳区十里河白墙子266号,12122,,,,"116.459601,39.869053"
11410,北京瑞通嘉业汽车销售服务有限公司,010-65046995/010-65046993,北京市工体北路6号凯富大厦首层,12122,,,,"116.462989,39.936837"
11411,北京冀财奥汽车贸易有限公司,010-67861991,北京市北京经济技术开发区东环北路北1号西侧,12122,,,,"116.512796,39.819056"
11412,北京通铭伟业汽车销售有限公司,010-62915559-116/117/118,北京市朝阳区德外花虎沟99号,12122,,,,"116.364977,40.025076"
11413,北京波士山汽车销售服务有限公司,010-85776115,朝阳区兴隆庄甲3号,12122,,,,"116.537251,39.915105"
11415,北京欧之杰汽车贸易有限公司,010-69980372,北京市平谷区平三路西侧，兴业路35号,12122,,,,"117.120434,40.112184"
11416,北京东方金硕汽车销售服务有限公司,010-82403055,北京市海淀区西北旺镇百旺绿谷汽车园F2-5号,12122,,,,"116.25726,40.056312"
11417,北京安瑞迪商贸有限责任公司,010－69099012,北京市密云县十里堡镇十里堡村北100米,12122,,,,"116.801873,40.361982"
11418,北京连振高超汽车销售有限公司,010-80353333,北京市房山区长阳镇北广阳城环路5号,12122,,,,"116.188259,39.757146"
11419,北京天乐国裕经贸发展有限公司,010-80101818,北京市昌平区昌南环岛西南侧,12122,,,,"116.229339,40.215953"
11420,北京大通佳信汽车销售服务有限公司,010-60216712,北京市大兴区经济开发区金苑路31号,12122,,,,"116.370614,39.765383"
11421,北京北方程远汽车销售服务有限公司,010-88925721,北京市石景山区古城大街首钢特钢院内北京国际汽车服务园区F区12号,12122,,,,"116.191776,39.922458"
