code,name,rssc_code,province_code,city_code,district_code,phone,fax,email,address,service_tel,hot_line
11011,安徽合成汽车销售服务有限公司,40001,01,123,,0551-4846888,0551-5171800,shihaisheng@vip.163.com;skodaahhc@hotmail.com,安徽省合肥市包河区安徽南方汽车广场,551-4846866,
11051,安徽致嘉汽车销售服务有限公司,40001,01,123,,0551-5303909,0551-5303911,ahzj_skd@sina.com,合肥长江西路安徽名车广场内,0551-5303918,
11121,滁州亚昊汽车销售服务有限公司,40001,01,132,,0550-3122233,,,安徽省滁州市来安县永阳路亚夏汽车城,0550-3537286,
11071,芜湖易和福临汽车销售服务有限公司,40001,01,126,,0553-3016699,,,安徽省芜湖市镜湖区峨山路近滨江大道口,0553-3016000,
11021-03,安庆柏盛汽车销售服务有限公司,40001,01,137,,,,,安徽省池州市贵池区长江南路,,
11021,安庆柏盛汽车销售服务有限公司,40001,01,130,,0556-5208888/5299666,0556-5836900,aqbaishengskoda@163.com,安庆国际汽车城(新车管所对面),0556-5397666,
11031,阜阳九天盈众汽车销售服务有限公司,40001,01,133,,0558-2567777,,,安徽省阜阳市颍州区105国道,0558-2569988,
11091,宿州市骏达汽车销售有限公司,40001,01,134,,0557-28033333,0557-3661888,szjdqc@126.com,安徽省宿州市埇桥区经济示范园仁和北路,0557-3259066,
11101,宣城亚昊汽车销售服务有限公司,40001,01,136,,0563-2616893,,,安徽省宣城市宣州区水阳江大道,0563-2616869,
11011-03,安徽合成汽车销售服务有限公司,40001,01,131,,0559-2345988,,,安徽省黄山市屯溪区齐云山大道37号黄山豪泰大厦1幢109室,0559-2345988,
11061,亳州春雨慧达汽车销售服务有限公司,40001,01,418,,0558-5135555,0558-5628907,cyjtzdp@163.com,经济开发区亳州市春雨光彩国际汽车城内,0558-5871777,
13031,福州世腾汽车销售服务有限公司,50001,05,198,,0591-87746666,0591-87274206,skoda_13031@vip.163.com,福州市鼓楼区铜盘路388号,0591-87745555,
13101,福州世盛汽车销售服务有限公司,50001,05,198,,0591-22996669,,,福建省福州市闽侯县福建省海峡汽车城,0591-22771100,
13021,厦门盈海汽车有限公司,50001,05,199,,0592-5655888,0592-5733988,xia.zeng@enjoyauto.com;xmskoda@163.com;skoda_13021,福建省厦门市湖里区高崎机场红绿灯集美大桥方向20米（金尚路与枋钟路交叉口）,0592-6039999,
13021-02,厦门盈海汽车有限公司(厦门盈海同安展厅),50001,05,199,,0592-7157755,,,同安区同集北路999号,,
13061,三明盈海汽车有限公司,50001,05,200,,0598-8288989,0598-8368369,chenwm88@163.com;fei.zheng@enjoyauto.com;skoda_130,三明梅列区德安工业小区（高速三明北出口处三明大桥旁）,0598-8298555,
13061-01,三明盈海汽车有限公司(三明盈海永安市展厅),50001,05,200,,,,,永安市燕江南路2059号,,
13091,莆田市荣丰汽车服务有限公司,50001,05,201,,0594-2898288,0594-6727999,skoda_13091@vip.163.com,福建省莆田市荔城区西天尾镇龙山村,0594-6739898,
13091-01,莆田市荣丰汽车服务有限公司,50001,05,201,,,,,福建省莆田市仙游县城南东路九隆小区8号楼,,
13011,福建省泉州市世纪汽车销售服务有限公司,50001,05,202,,0595-22479088,0595-22489617,skodaqz@vip.163.com;skoda_13011@vip.163.com,福建省泉州市鲤城区南环路江南工业区,0595-22477577,
13011-01,福建省泉州市世纪汽车销售服务有限公司(泉州世纪安溪县展厅),50001,05,202,,0595-23287777,,,安溪县城关二环路,,
13071-01,泉州盈海汽车有限公司(泉州盈海德化展厅),50001,05,202,,0595-27200999,,,瓷都大道大洋电信分局楼下,,
13011-02,福建省泉州市世纪汽车销售服务有限公司,50001,05,202,,,,,福建省泉州市惠安县惠崇公路,,
13051,漳州盈海汽车有限公司,50001,05,203,,0596-2962777,05962162875,chenwm88@163.com;0596skoda@163.com,漳州市龙文区迎宾路石仓九龙门斜对面,0596-2988088,
13051-02,漳州盈海汽车有限公司(漳州盈海漳浦展厅),50001,05,203,,0596-3866669,,,漳州市漳浦县黄仓工业园区龙湖大道,,
13121,福建省元辰汽车有限公司,50001,05,204,,0599-3715959,,,福建省南平市建瓯市建瓯中国笋竹城C区10号地块,0599-3829831,
13041,龙岩盈海汽车有限公司,50001,05,205,,0597-2505999,05972536611,skoda_13041@vip.163.com;74313041_ly@163.com,福建省龙岩市新罗区东兴路211号,0597-2500099,
13041-01,龙岩盈海汽车有限公司(龙岩盈海漳平展厅),50001,05,205,,0597-7850169,,,漳平市东环路,,
13041-02,龙岩盈海汽车有限公司(龙岩盈海上杭展厅),50001,05,205,,0597-3888188,,,龙岩市上杭县临城镇309省道,,
13041-03,龙岩盈海汽车有限公司(龙岩盈海长汀展厅),50001,05,205,,0597-5219888,,,龙岩市长汀县西客站（腾飞二路19号）,,
13041-04,龙岩盈海汽车有限公司(龙岩盈海连城展厅),50001,05,205,,0597-8922091,,,龙岩市连城县文亨镇连文路,,
13081,宁德亿众汽车有限公司,50001,05,206,,0593-5069999,0593-5066787,skoda_13081@vip.163.com,福建省宁德市蕉城区万安东路9号,0593-5066777,
25021,兰州阜康金瑞汽车销售服务有限公司,30001,07,369,,0931-8350999,,skoda_25021@vip.163.com,甘肃省兰州市皋兰县忠和镇忠和村,0931-8390988,
25011-08,兰州金达康汽车销售服务有限公司(兰州金达康金昌展厅),30001,07,370,,,,,金昌市泰安路久久香食品生态园区,,
25031,酒泉合锐汽车销售服务有限公司,30001,07,380,,0937-2889888,,,甘肃省酒泉市肃州区国道312线2954公里处,0937-2889666,
25031-01,酒泉合锐汽车销售服务有限公司,30001,07,379,,,,,甘肃省张掖市甘州区东盘旋路农机大楼1楼,,
15011,广东广物骏达汽车贸易有限公司,50001,08,276,,020-81609188,020-86329253,skoda_15011@vip.163.com,广州市荔湾区龙溪大道488号(花卉市场往五丫口大桥方向300米),020-81609188-811,
15141,广州广物骏锐汽车销售服务有限公司,50001,08,276,,020-39999996,020-39999937,skoda-15141@vip.163.com,广东省广州市番禺区市桥东环路,020-39999939,
15011-01,广东广物骏达汽车贸易有限公司(广州广物机场路销售服务店),50001,08,276,,020-86329111,,,广州市机场路888号广东汽车市场内,,
