id,dealer_code,username,password,dealer_name,province,city,address,sale_tel,after_tel,x,y,qrcode,wechat,wechat_name,about,created_at,updated_at
372,70161L,,,仙桃市高路汽车服务有限责任公司,湖北省,仙桃市,仙桃市宏达路高管三大队北侧,0728-8203222,0728-3312538,113.447428,30.364777,,,,,1459419202,1459419202
385,70099U,,,十堰中威标龙汽车销售服务有限公司,湖北省,十堰市,十堰市东城开发区东风大道61号,0719-8316688,0719-8361666,110.892754,32.574705,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494582106
386,70162M,,,东风（十堰）实业物资贸易有限公司,湖北省,十堰市,十堰市车城路82号,0719-8663080,0719-8263888 0719-8263988,110.771904,32.643081,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1473053196
387,70098T,,,十堰亨运集团汽车销售服务有限公司,湖北省,十堰市,十堰市车城南路59号,0719-8889138,0719-8882103,110.779214,32.614355,,,,,1459419202,1459419202
409,70575L,,,房县鑫鑫神龙有限责任公司,湖北省,十堰市,房县城关镇房陵东大道53号,0719-3211888,0719-3210777,110.749244,32.064172,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494901360
371,70534S,,,咸宁市运通汽车销售有限公司,湖北省,咸宁市,咸宁市银泉大道99号,0715-8818009,0715-8256188,114.320768,29.877896,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494901405
383,70772A,,,天门市年方汽车销售服务有限公司,湖北省,天门市,天门市小板镇金科村三乡路（汽车大市场）,8503111,8503135,113.19379,30.61253,,,,,1459419202,1459419202
365,70824G,,,孝感龙鑫汽车销售服务有限公司,湖北省,孝感市,湖北省孝感市孝南区仙女湖东路,0712-2365678,0712-2836508,114.016142,30.944617,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494582022
366,70095P,,,孝感合力安晟汽车销售服务有限公司,湖北省,孝感市,孝感市槐荫大道3号,0712—2864567,0712—2864548,113.955019,30.91055,,,,,1459419202,1459419202
362,75785Z,,,宜昌市民富汽车销售租赁服务有限公司,湖北省,宜昌市,宜昌市东山开发区发展大道36号,0717-6332666,0717-6336111,111.341716,30.729203,,,,,1459419202,1459419202
600,70097S,,,宜昌交运集团汽车销售维修有限公司,湖北省,宜昌市,宜昌市伍家岗区港窑路5号,0717-6903555转1,0717-6903555转2,111.321068,30.685964,,,,<p>&nbsp; &nbsp;</p>,1493366807,1493366883
