id,image,fullname,name,code,address,servicetel,selltel,lon,lat,openweb,onlineser,city,published,subdomain,lang,website
7,/images/dealers/overlist_pic/111111111111111111.jpg,北京庞大华业汽车销售服务有限公司 4S店,DS北京庞大华业经销商,CCN03ST,北京市朝阳区东五环五方桥西北角庞大汽车园DS店,010-87394886,010-87390199,116.553977,39.878308,1,1,1101,1,pdhy,zh,/web/cn/dealers/pdhy
8,/images/dealers/about_us_pic/8.jpg,南京大道汽车销售服务有限公司 4S店,DS南京大道经销商,CCN03BT,江苏省南京市江宁区东山汽车4S园润麒路1号,025-52705111,025-52708999,118.882471,31.985812,1,1,3201,1,njdadao,zh,/web/cn/dealers/njdadao
10,/images/dealers/about_us_pic/10.jpg,成都亨孚车业有限公司 4S店,DS成都亨孚经销商,CCN043T,四川省成都市高新区火车南站西路799号,028-85327766,028-61687711,104.053909,30.609249,1,1,5101,1,cdjg,zh,/web/cn/dealers/cdjg
11,/images/dealers/about_us_pic/11.jpg,上海绿地北诚汽车销售服务有限公司 4S店,DS上海绿地北诚经销商,CCN03NT,上海市静安区康宁路968号（近场中路）,021-64310022,021-64310011,121.441415,31.312838,1,1,3101,1,ldbc,zh,/web/cn/dealers/ldbc
13,/images/dealers/about_us_pic/13.jpg,深圳市标鸿汽车有限公司 4S店,DS深圳标鸿经销商,CCN03CT,广东省深圳松岗镇潭头芙蓉路23号，107国道芙蓉立交旁,0755-29620566,0755-29880000,113.855754,22.749921,1,1,4403,1,szbh,zh,/web/cn/dealers/szbh
14,/images/dealers/about_us_pic/14.jpg,安徽合和汽车销售服务有限公司 城市展厅,DS安徽合和经销商,CCN03RT,合肥市包河大道与延安路交口,0551-63779010,0551-63359878,117.323327,31.784561,1,0,3401,1,ahhh,zh,/web/cn/dealers/ahhh
16,/images/dealers/about_us_pic/16.jpg,杭州康桥法诺汽车销售服务有限公司 4S店,DS杭州康桥法诺经销商,CCN03TT,杭州市上塘高架好运街出口（康桥汽车园区内）,0571-26295999,0571-26295666,120.096187,30.356354,1,1,3301,1,kqfn,zh,/web/cn/dealers/kqfn
18,/images/dealers/overlist_pic/18.jpg,北京博瑞祥宇汽车销售服务有限公司 4S店,DS北京博瑞祥宇经销商,CCN04HT,北京市朝阳区德胜门外花虎沟2号,010-82817770,,116.364140,40.025015,0,1,1101,1,,zh,
20,/images/dealers/overlist_pic/20.jpg,无锡东方鸿达汽车销售服务有限公司 4S店,DS无锡东方鸿达经销商,CCN04IT,江苏省无锡市新区金城东路290号B5,0510-81157377,0510-81157366,120.411082,31.571353,0,1,3202,1,,zh,
21,/images/dealers/overlist_pic/21.jpg,南通大达汽车销售服务有限公司 4S店,DS南通大达经销商,CCN04NT,江苏省南通市大生路1号,0513-55071111,0513-55882888,120.808054,32.044303,0,1,3206,1,,zh,
23,/images/dealers/overlist_pic/23.jpg,重庆市运湖汽车贸易有限公司 4S店,DS重庆市运湖经销商,CCN050T,重庆市巴南区花溪街道岔路口村2组（岔路口轻轨站旁）,023-66293737,023-66232777,106.543411,29.456984,0,1,5001,1,,zh,
24,/images/dealers/overlist_pic/24.jpg,西安天禾汽车贸易有限公司 4S店,DS西安天禾经销商,CCN04OT,陕西省西安市高新区新型工业园西部大道125号,029-88889820,029-88889826,108.869108,34.178123,0,1,6101,1,,zh,
25,/images/dealers/overlist_pic/CQYH_CF.jpg,重庆市运湖汽车贸易有限公司 城市展厅,DS重庆市运湖经销商,CCN050T,汽博中心名车广场,,023-63015905,106.579846,29.648665,0,0,5001,1,,zh,
26,/images/dealers/overlist_pic/26.jpg,西安欧典汽车销售服务有限公司 4S店,DS西安欧典经销商,CCN04LT,西安市莲湖区大庆路335号,029-89112255,029-89113311,108.911630,34.275601,0,1,6101,1,,zh,
29,/images/dealers/overlist_pic/29.jpg,贵阳瀚羿睿星汽车销售服务有限公司 4S店,DS贵阳瀚羿睿星经销商,CCN044T,贵阳市花溪区贵阳国际汽车贸易城（孟关）,0851-83653555,0851-83602555,106.749363,26.408678,0,1,5201,1,,zh,
31,/images/dealers/overlist_pic/31.jpg,唐山庞大昌业汽车销售服务有限公司 4S店,DS唐山庞大昌业经销商,CCN03UT,唐山市路南区复兴路与环城路南环交汇处,0315-5922777,0315-5922555,118.203223,39.599162,0,1,1302,1,,zh,
32,/images/dealers/overlist_pic/32.jpg,安徽合和汽车销售服务有限公司 4S店,DS安徽合和经销商,CCN03RT,安徽省合肥市包河大道延安路口大步车业,0551-63779010,0551-63359878,117.324201,31.784447,1,1,3401,1,ahhh,zh,/web/cn/dealers/ahhh
