vd_salePhone,vd_serviceCode,vd_dealerName,vd_longitude,vd_address,vd_latitude,vc_name,vd_url,vd_dealerCode,vd_dealerType,vd_city,vd_province,vd_postCode,vd_fax,vp_name,vd_id
0551-63520168,,安徽孚迪汽车销售有限公司,117.353708,包河区纬一路13号专卖店,31.803561,合肥,,S734009,1,113,16,230051,,A 安徽,103
0551-64240883,,安徽宝捷汽车销售服务有限公司,117.347342,安徽省合肥市瑶海区双七路国际汽车城东2号一汽大众专营店,31.891095,合肥,,S734011,1,113,16,230011,,A 安徽,104
0551-67103777,,合肥欧亚汽车服务有限公司,117.184675,安徽省合肥市长江西路1028号,31.857673,合肥,,S734016,1,113,16,239000,,A 安徽,535
0551-87878771,7583478,安徽众力汽车销售服务有限公司庐江分公司,117.2603072460,合肥市庐江县庐城镇军二路690号,31.27021854600,合肥,,S734014,2,113,16,231500,,A 安徽,2032
0551-82850555,,巢湖亚宝汽车销售服务有限公司,117.924516,巢湖市经济开发区金山路亚夏汽车城内,31.644696,合肥,,S734020,1,113,16,238000,,A 安徽,652
18956008276,,安徽众力汽车销售服务有限公司,117.265536,安徽省合肥市肥西县上小路与翡翠路交叉口西南国际城诚挚大厦B座，一汽大众,31.948465,合肥,,S734014M1,2,113,16,230000,,A 安徽,1153
0552-4127733,,蚌埠市华诚轿车销售服务有限公司,117.316666,蚌埠市高新区燕山路与大庆路交汇口2211号,32.916233,蚌埠,,S734017,1,114,16,233011,,A 安徽,106
0556-5305888,,安庆环众汽车销售服务有限公司,117.062175,安庆市开发区中兴大道205号（火车道口向北300米) ,30.561249,安庆,,S734030,1,115,16,,,A 安徽,974
0553-2878988,,芜湖亚夏汽车股份有限公司,118.407499,安徽省芜湖市弋江北路亚夏汽车城，一汽大众4S店,31.366190,芜湖,,S734034,1,116,16,241000,,A 安徽,105
0553-5633888,,芜湖协众汽车销售服务有限公司,118.467977,安徽省芜湖市鸠江区龙腾路,31.400208,芜湖,,S734031,1,116,16,,,A 安徽,1053
15178183960,,阜阳市永鑫汽车销售服务有限公司,115.2945900000,临泉县工业园区前进东路金禾面粉厂楼下,33.0519300000,阜阳,,S734013,2,117,16,,,A 安徽,523
0558-3852888,,阜阳永迪汽车销售服务有限公司,115.801947,阜阳市颍州区清河办事处阜南路463号6幢 ,32.894688,阜阳,,S734029,1,117,16,,,A 安徽,1041
15005582000,,阜阳市永鑫汽车销售服务有限公司太和分公司,115.609358,太和县105国道与308省道交汇处太和县行政服务中心对面,33.223908,阜阳,,S734013M1,2,117,16,,,A 安徽,1070
15178183960,,阜阳市永鑫汽车销售服务有限公司临泉分公司,115.301988,临泉县工业园区前进东路金禾面粉厂楼下,33.057933,阜阳,,S734013M2,2,117,16,,,A 安徽,1122
15178183960,,阜阳市永鑫汽车销售服务有限公司,115.395077,临泉县工业园区前进东路金禾面粉厂楼下,32.743533,阜阳,,S734013M3,2,117,16,236000,,A 安徽,1154
0558-8888222,,亳州中源汽车销售服务有限公司,115.805642,亳州市药都大道868号铁路桥东路南,33.844187,毫州,,S734021,1,280,16,236800,,A 安徽,651
0558-7600001,7583404,蒙城县汇丰汽车销售服务有限公司,116.570077,安徽省蒙城县国际汽车城内（鲲鹏路和政通路交叉口）,33.241006,毫州,,s734003,1,280,16,233500,,A 安徽,1160
0563-4668666,,宁国亚宝汽车销售服务有限公司,119.003439,宁国市宁国经济技术开发区宜黄线,30.605672,宣城,,S234001,1,281,16,242300,,A 安徽,34
0563-2616888,,宣城亚宝汽车销售服务有限公司,118.745829,宣城市经济技术开发区亚夏汽车城,30.937428,宣城,,S734019,1,281,16,242000,,A 安徽,653
0557-2815555,,宿州市丽豪汽车销售服务有限公司,117.05011,宿州市东十里汽车城循环经济示范园内,33.634389,宿州,,S734018,1,284,16,234000,,A 安徽,662
0555-6070888,,马鞍山协众汽车销售有限公司,118.496029,安徽省马鞍山市当涂县红旗南路,31.600693,马鞍山,,S734023,1,285,16,243000,,A 安徽,663
0564-3272222,,六安和众汽车销售服务有限公司,116.62556,安徽省六安市金安区经济开发区大华山路与南京路交叉口,31.765457,六安,,S734022,1,289,16,237000,,A 安徽,670
0562-5851717,,铜陵市海达汽车销售服务有限公司,117.772244,安徽省铜陵市铜都大道古圣社区桥南4S店集群,30.872477,铜陵,,S734024,1,297,16,244000,,A 安徽,705
