_id,_location,_name,_address,JVFlag,Website,DealerAffiliation,WeChatUrl,Fax,AdministrativeArea,DealerEntity,WeiboURL,DealerNewVehicle,ServicePhoneNumber,ServiceHistoryID,PrimaryPhone,eDaijiaPhone,SalesPhoneNumber,Email,Servicehours,Locality,eDaijiaCustomerID,PostCode,VehicleServices,FCOPhoneNumber,DealerID,eDaijiaFlag,Saleshours,_createtime,_updatetime,_province,_city,_district,_distance,_image
26701,"115.760922,33.831104",亳州市远景福润汽车销售服务有限责任公司,安徽省亳州市谯城区古井路1号,CAF,,Category2,,0558-5678936,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0558-5236777,,销售:0558-8887999; 服务:0558-5236777,,0558-8887999,369526@qq.com,"08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00",亳州,,236800,,,A27655,,"08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00",2017-07-20 12:55:09,2017-09-26 16:27:55,安徽省,亳州市,谯城区,2222,[]
26700,"116.568895,33.242618",亳州福铄汽车贸易有限公司,安徽省蒙城县汽车产业园园区路,CAF,,Category2,,0558-7675826,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0558-7675818,,销售:0558-2800888; 服务:0558-7675818,,0558-2800888,marketing@A28516.caf.so,"08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00",蒙城,,233500,,,A28516,,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",2017-07-20 12:55:09,2017-09-26 16:28:00,安徽省,亳州市,蒙城县,2618,[]
26600,"116.507675,31.75289",六安市金运汽车销售服务有限公司,六安承接集中示范园区南京路,JMC,Category3,,,安徽,0564-3632087,,"福特经典全顺,福特新世代全顺",,0564-3630505,,销售:0564-3631588;服务:0564-3630505,,mailto:lajy@jmc.com.cn,0564-3631588,六安,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",,237000,"销售,保养,机修,钣喷",,,1511305S,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,六安市,金安区,2521,[]
26988,"116.568606,31.756022",六安信步汽车销售服务有限公司,六安市金安区经六路8号金太阳国际汽车城,CAF,,Category2,,0564-3358020,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0564-3358012,,销售:0564-3358018; 服务:0564-3358012,,0564-3358018,jtc@ahdabu.com,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",六安,,237000,,,A18995,,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",2017-07-20 12:55:09,2017-09-26 16:05:35,安徽省,六安市,金安区,5072,[]
26989,"116.618278,31.760237",六安之道汽车销售服务有限公司,六安市承接产业转移集中示范区南京路,CAF,,Category2,,0564-3838005,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0564-3838012,,"销售:0564-3696611,0564-3696622; 服务:0564-3838012",,0564-3696611,gm@a33581.caf.so,"08:00,17:00;08:00,18:00;09:00,18:00;09:00,18:00;09:00,18:00;09:00,18:00;09:00,18:00",六安,,237000,,,A33581,,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",2017-07-20 12:55:09,2017-09-26 16:05:37,安徽省,六安市,金安区,9586,[]
26661,"117.211611,31.830511",安徽亚特汽车销售服务有限公司,合肥市望江西路与西二环路交叉口亚夏汽车城（环湖东路19号）,CAF,Category2,,,安徽,0551-65399551,,"全新福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",,0551-65399555,,销售:0551-65399567; 服务:0551-65399555,,anhuiyate@yahoo.com.cn,0551-65399567,合肥,"08:00,17:00;08:00,17:00;08:00,17:00;08:00,17:00;08:00,17:00;08:00,17:00;08:00,17:00",,230088,,,,A04513,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,合肥市,蜀山区,1844,[]
27416,"117.318495,31.779447",安徽大步车业销售有限公司,合肥市包河区包河大道与延安路交口东北角,"CAF,FCO",,Category1,,0551-63359888,安徽,,,"福特探险者,福特福克斯ST,福特Mustang,福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特S-MAX,福特翼搏,福特翼虎,全新福特锐界",0551-63359882,,销售:0551-63406222; 服务:0551-63359882; 进口:0551-64280968,,0551-63406222,gm@A21575.caf.so,"08:30,18:00;08:30,18:00;08:30,18:00;08:30,18:00;08:30,18:00;08:30,18:00;08:30,18:00",合肥,,230001,,0551-64280968,A21575,,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",2017-07-20 12:55:10,2017-09-26 15:37:32,安徽省,合肥市,包河区,9765,[]
26844,"117.26556,31.917236",合肥恒信德龙美华汽车销售服务有限公司,安徽省合肥市庐阳区蒙城北路1111号,CAF,,Category2,,0551-66019120,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0551-66019333,,销售:0551-66019111; 服务:0551-66019333,,0551-66019111,HFMH_tanping@hbhxdl.com.cn,"08:15,18:00;08:15,18:00;08:15,18:00;08:15,18:00;08:15,18:00;08:15,18:00;08:15,18:00",合肥,,230001,,,A33583,,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",2017-07-20 12:55:09,2017-09-26 16:19:48,安徽省,合肥市,庐阳区,11343,[]
26845,"117.111428,31.853091",合肥万福汽车销售有限公司,合肥市高新区长江西路与长宁大道交口中国长安万有国际汽车城内,CAF,,Category2,,0551-65189601,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0551-65189611,,销售:0551-65189600; 服务:0551-65189611,,0551-65189600,hfwfft@163.com,;;;;;;,合肥,,230088,,,A34379,,"09:00,18:00;09:00,18:00;09:00,18:00;09:00,18:00;09:00,18:00;09:00,18:00;09:00,18:00",2017-07-20 12:55:09,2017-09-26 16:19:44,安徽省,合肥市,蜀山区,11525,[]
26659,"117.331931,31.883415",安徽省大步汽车销售服务有限公司,安徽省合肥市北二环路安徽国际汽车城,CAF,Category2,,,安徽,0551-4280967,,"全新福克斯RS,福特探险者,福特福克斯ST,福特Mustang,全新福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界,福特F-150猛禽",,0551-4280968,,销售:0551-4280968; 服务:0551-4280968,,fangzhoul@126.com,0551-4280968,合肥,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:00,18:30;08:00,18:30",,230011,,,,A04512,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,合肥市,瑶海区,12110,[]
