id,title,functions,contacts,contact,address,lal
2,沈阳皓伦汽车销售有限公司,,240701,88422888,沈阳市沈河区东陵路46-3号,"123.541891,41.820936"
3,吉林省双程汽车销售服务有限公司,,431802,88668686,吉林省长春市经济开发区洋浦大道875号,"125.391698,43.864822"
4,哈尔滨华品吉沃汽车销售服务有限公司,,451702,88888001,哈尔滨市道外区先锋路9号,"126.754741,45.78084"
5,黑龙江成越汽车贸易有限公司,,451005,83369777,黑龙江省哈尔滨市道里区国际汽车城B1B2栋,451005
6,北京中汽双会汽车销售有限责任公司,,100701,010-65730317,北京市朝阳区管庄重兴寺村,"116.62272,39.911676"
7,天津中远汽车贸易有限公司,,220008,86907711,天津市北辰区普济河东道1号院内,"117.222047,39.214414"
8,河北荣神汽车销售服务有限公司,,311002,85666990,石家庄市东开发区307国道与机场路交叉口,"114.804451,38.031388"
9,邯郸市金太阳汽车科技有限公司,,310005,5513222  5102331,东环路与丛台路交叉口北200米路东,"114.544583,36.624102"
10,邢台京宾汽车贸易有限公司,,319006,3927888,河北省邢台市桥东区龙岗大街与旭阳路交叉口路南汽车城内,"114.561212,37.124045"
12,太原市老兵经贸有限公司,,351008,7021166,太原市小店区太榆路36号,"112.601536,37.807413"
13,山西吉豪汽车销售服务有限公司,,351702,2206668,太原市万柏林区新晋祠路110号汇众汽车家园内,"112.540405,37.82923"
14,陕西德丰汽车贸易有限公司,,290010,82378882,西安市三桥经济疏导线58号,"108.822638,34.300496"
15,宝鸡市星海工贸有限责任公司,,917001,3531333,宝鸡市高新区高新十二路,"107.29401,34.34734"
16,延安路通汽车维修有限责任公司,,911801,3330888,延安市宝塔区柳林镇二十里铺村,"109.477559,36.527865"
17,山东省滨州市方正出租汽车有限责任公司,,543002,0543-3354123,山东省滨州市渤海五路828号,"118.025126,37.426057"
18,德州陆鼎商贸有限公司,,534003,2755466,德州经济开发区晶华路2285号,"116.381456,37.459323"
19,聊城鲁翔吉豪汽车销售有限公司,,635002,8316600,聊城市建设路东首一号,"115.97113,36.478127"
20,烟台富金汽车销售服务有限公司,,535701,6377188,山东烟台市经济技术开发区北京南路2-10,"121.36986,37.49528"
21,山东省吉利汽车超市有限公司,,531701,69927000,济南经十路31210号,"116.892257,36.654075"
22,临沂春华汽车销售服务有限公司,,539005,7678583,临沂市兰山区双岭路于与西外环交汇远通汽车大世界,"118.275707,35.021138"
24,张掖市鑫诚商贸有限责任公司,,936001,8686909,张掖市滨河新区现代化物流园区发展大道南侧,"100.486714,38.944326"
25,安徽世钰汽车销售服务有限公司,,551701,64842333,合肥市包河区包河工业园天津路5号,"117.355498,31.805386"
26,江西帝豪汽车销售服务有限公司,,791701,88228669,江西省南昌市洪都南大道388号,"115.930252,28.656831"
28,上海晋熙汽车销售服务有限公司,,210701,68041618,上海市浦东新区沪南公路4789弄258号,"121.594105,31.077443"
29,南京钧生汽车销售服务有限公司,,250003,81031078,南京市江宁区汽车4S园区临麒路,"118.883697,31.988337"
30,无锡市吉美汽车销售有限公司,,510002,82133000,无锡市新区锡义路76号,"120.409607,31.563312"
31,苏州市汽车工业贸易有限公司,,512011,65131100,苏州市高新区御风路2号,"120.635138,31.29931"
32,郑州鑫河汽车销售有限公司,,371012,66660800,郑州市郑东新区物流大道与康庄路交叉口庞大汽车城,"113.858823,34.763606"
33,濮阳市恒通汽车销售有限公司,,393001,8708168,濮阳市苏北路东段路北,"115.127533,35.78487"
35,杭州远景汽车服务有限公司,,571011,88175777,杭州市拱墅区石祥路295号,"120.158055,30.338022"
36,杭州豪帝汽车销售服务有限公司,,571701,28181188,浙江省杭州市余杭区莫干山路1415号,"120.122968,30.332767"
37,宁波帝豪汽车销售服务有限公司,,574701,87638282,宁波市江北区环城北路东段247号,"121.585465,29.908016"
38,台州豪情汽车销售服务有限公司,,576701,82866666,台州市路桥区新迎宾大道,"121.340892,28.573155"
39,厦门宏源发商贸发展有限公司,,592003,5785888,厦门市湖里区坊湖路751号-1,"118.156336,24.520433"
40,泉州市帝豪汽车服务有限公司,,595701,85931333,福建省晋江市紫帽镇湖盘村中远高尔夫球场对面,"118.536192,24.869824"
41,广西开心汽车服务有限公司,,771703,5596999,南宁市江南区白沙大道107号,"108.288191,22.782093"
42,广州市铭智汽车贸易有限公司,,200011,89009898,广州市海珠区广州大道南1601-1603号华南汽贸广场内A区69号,"113.321221,23.081451"
44,东莞市新华利汽车贸易有限公司,,769701,81112228,东莞市寮步镇莞樟大道塘唇段49号,"113.864152,23.022514"
45,海南开心汽车销售服务有限公司,,891702,31901888,海口市南海大道228号A幢1号海南汽车大世界,"110.298141,20.027276"
46,成都西物汽车有限公司,,280701,85312678,成都市高新区新园南二路1号,"103.986763,30.63635"
47,南充明云铃丰车业有限公司,,817701,6811111,南充市高坪区机场大道东顺路68号,"106.178745,30.775538"
49,贵州海翔汽车贸易服务有限公司,,851007,84355068,贵州省贵阳市白云区白云南路457号A栋,"106.665112,26.671254"
50,贵州建邦常发汽车贸易有限公司,,851005,88425100,贵阳市清镇市青龙街道办事处偏坡村,"106.689733,26.538846"
51,衡阳运成汽车销售服务有限公司,,734005,2820666,湖南衡阳市蒸湘区杨柳汽贸园,"112.579548,26.877985"
52,湖南帝豪汽车销售服务有限责任公司,,731701,84081788,长沙县星沙镇博展路56号（中南汽车世界大展厅正对面）,"113.06967,28.238138"
54,内蒙古广通汽车销售有限责任公司,,471003,3673300,呼市草原明珠汽车展厅东1号,"111.613803,40.82682"
55,武汉市东瑞汽车销售服务有限公司,,270010,027-88716811,武汉市洪山区白沙洲大道9号,"114.265195,30.430871"
57,深圳市深意汽车销售服务有限公司,,755701,26565566,深圳市福田区北环大道北侧7028号B座（与下梅林一街交汇处）,"113.914127,22.538853"
58,浙江友华汽车有限公司,,570701,8068888,浙江省衢州市浙西大道109号2区,"118.902053,28.938544"
60,嘉兴市东江汽车销售服务有限公司,,573701,82670580,嘉兴市中环南路999号汽车商贸园5号,"120.814941,30.741347"
61,金华吉生汽车销售服务有限公司,,579701,82087171,金华市金东区东孝街道赤松路239号1楼西侧,"119.69863,29.148277"
62,厦门合升汽车销售有限公司,,592701,5373108,厦门市湖里区鳌山路473号,"118.149578,24.708079"
63,龙岩龙豪汽车贸易有限公司,,597701,3225858,龙岩市新罗区龙门镇物流大道338-1号,"116.956661,25.107527"
65,恩施市加宝汽车贸易有限责任公司,,718701,8025866,恩施市金桂大道花果山汽车商贸城1号,"109.487589,30.313584"
66,荆门铭丰汽车销售有限公司,,724004,2217222,荆门市掇刀区月亮湖路（国际汽车城内）,"112.21067,31.012094"
67,怀化豪沃汽车销售有限公司,,745701,2778758,怀化市红星南路汽贸市场211号二楼,"109.980169,27.533979"
69,汕头市腾达汽车销售服务有限公司,,754702,88222738,汕头市金凤路北侧下岐报本路南侧,"116.687026,23.390908"
71,广西吉星汽车销售服务有限公司,,755704,4788666,贵港市金港大道东段606号,"114.047487,22.701188"
72,中山市星时代汽车服务有限公司,,760002,88888691,中山市东区白沙湾长江北路320号,"113.417004,22.552352"
73,抚州铭豪汽车发展有限公司,,794701,8255060,江西省抚州市迎宾大道东（南昌大学对面）,"116.39415,27.964262"
74,赣州坤盛汽车销售服务有限公司,,797703,7373888,南康市龙岭工业西路,"114.824501,25.731688"
75,武威市德丰汽车销售服务有限公司,,935001,2560066,武威市凉州区天马大道北侧武威汽车城,"107.631517,35.752389"
76,新疆华创汽车销售服务有限公司,,991802,6681299,乌市鲤鱼山北路1号赛博特国际汽车城D5-1-02,"87.599652,43.883065"
77,北京京诚跃汽车销售服务有限公司,,100017,61249001,北京市大兴区黄村镇海鑫北路9号,"116.367152,39.770509"
78,重庆市佳运汽车销售有限公司,,230704,58810111,重庆市万州区沙龙路三段3878号（双河口赛德学校路口对面）,"108.393374,30.783319"
80,西咸新区德丰汽车贸易有限公司,,290703,33128399,咸阳市秦都区双照镇咸阳汽车产业园,"108.679677,34.375902"
81,菏泽市吉豪汽车销售服务有限公司,,530701,5700700,菏泽市黄河东路1666号,"115.546128,35.264984"
82,镇江顺达汽车销售服务有限公司,,511801,88899222,镇江市丁卯桥路298号,"119.524052,32.185761"
83,朔州市海联力通物资有限公司,,349701,2266399,朔州市车管所对面,"112.465675,39.35338"
85,晋城市宏达亚飞汽车销售有限公司,,356001,2052005,山西省晋城市中原街661号,"112.869891,35.482743"
86,安阳市一帆汽车销售有限公司,,372803,3762918,安阳市文峰区光明路南段路西（豫北汽车市场院内）,"114.340522,36.088905"
87,朝阳元宏汽车销售服务有限公司,,421001,2922333/2927799,辽宁省朝阳市双塔区龙山街四段820-3号,"120.435025,41.54629"
88,葫芦岛仕万通贸易有限公司,,429701,3366005,葫芦岛市打渔山开发区,"120.869165,40.747582"
89,松原市广瑞汽车贸易有限责任公司,,438802,6913999,松原市宁江区铁西街333号,"124.781613,45.109007"
90,齐齐哈尔市宏昌汽车贸易有限责任公司,,452702,2111598,黑龙江省齐齐哈尔市联通大道汽贸城-13号对面,"126.754741,45.78084"
91,牡丹江吉沃汽车销售服务有限公司,,453701,6592555,牡丹江市爱民区西海林街12号,"129.606813,44.595262"
92,四川鑫众和汽车销售有限公司,,280014,86668806,成都市青羊区文家场青羊工业园2区16号,"103.948109,30.696851"
93,张家口市恒瑞汽车销售有限公司,,313004,4081666,河北省张家口市高新区火石窑南行500米,"114.923268,40.731263"
94,沧州天玉汽车销售服务有限公司,,317002,3092029,沧州市开发区石港路1号,"116.919986,38.289908"
95,洛阳车一路汽车销售服务有限公司,,379804,69928999,洛阳市洛龙区开元大道杜预街口,"112.412137,34.605805"
96,漯河市佳美汽车销售有限公司,,395001,2111577,河南省漯河市漯舞路口西500米加油站路口北,"114.000478,33.556462"
97,大连长沣汽车贸易有限公司,,411703,86590808,大连市甘井子区华东路45#,"121.596008,38.978528"
98,乌兰察布市森润汽车销售有限责任公司,,474801,15947579229,乌兰察布市察哈尔汽贸城众森汽配城南,"113.1283,40.968995"
99,江阴市同元汽贸有限公司,,510001,80601000,江阴市澄杨路66号,"120.317874,31.889377"
100,昆山永通华阳汽车销售有限公司,,512702,50322333,昆山市玉山镇宝益路9号2号房,"120.984453,31.371237"
101,河南华泽汽车服务有限公司,,371016,55092555,郑州市郑东新区黄河路与经北六路向东800米路北（郑州电缆厂对,"113.765993,34.739659"
103,潍坊福链汽车销售有限公司,,536702,8811766,潍坊市奎文区潍州路399号金宝汽车城,"119.136357,36.662187"
104,济宁北辰汽车销售有限公司,,537011,3150001,济宁市高新区新327国道（光府河东杨桥新区）,"116.619231,35.435824"
105,绍兴市君诚汽车销售服务有限公司,,575006,0575-88378877,绍兴市二环北路59号,"120.565445,30.033494"
106,梧州市瑞安汽车贸易有限公司,,744701,2028555,梧州市长洲区三龙大道茅山路段,"111.247993,23.475343"
107,惠州市旺华汽车贸易有限公司,,752004,2850335,惠州市惠博沿江路金山汽车城2号展场,"114.402083,23.137206"
108,深圳市凯捷通实业有限公司,,755801,89730331,深圳市龙岗区横岗深惠路（横岗段）1118号信义汽车城9号展位,"114.228982,22.674294"
109,桂林市宝路通商贸有限责任公司,,773001,2262266,桂林市秀峰区甲山乡村委会熊家村925号一层展示维修中心,"110.313053,25.235959"
110,桂林丰驰汽车贸易有限公司,,773701,2638828,桂林市灵川县八里街永业汽车城第4栋1-6号门面,"108.305075,22.869728"
111,九江市联科汽车销售服务有限公司,,792701,8360800,九江市开发区九瑞路179号,"115.973483,29.710017"
112,汉中市嘉力汽车贸易有限公司,,916802,2650011,陕西省汉中市铺镇关爷庙村,"107.116284,33.090267"
113,平凉市金奥来汽车销售有限责任公司,,933002,8712766,平凉市崆峒区金江茗苑10号楼1层吉利汽车,"106.663977,35.557477"
114,库尔勒辉环汽车销售有限公司,,996802,2163000,新城区石化大道74号小区（神州国际汽车城院内C区）,"86.221305,41.725665"
115,云南港鑫实业有限公司,,871701,68260666,昆明市二环西路668号烟草兴云汽车城,"102.673392,25.07441"
116,保定市保跃汽车销售有限公司,,312011,7919999,保定市长城南大街,"115.514868,38.835531"
117,唐山万汇汽车销售服务有限公司,,315801,2890556,唐山市路南区岳各庄（汽车文化展示园）,"118.200995,39.600804"
118,信阳豫通汽车销售服务有限公司,,376701,3709666,河南省信阳市京珠高速入口东50米,"114.217147, 32.13496"
119,通辽市九赢车辆销售有限责任公司,,475801,6385919,科尔沁区科尔沁大街东段1434号,"122.29169,43.617916"
120,赤峰传奇汽车销售有限公司,,476802,8283311,内蒙古赤峰市红山区桥北物流园区,"118.936639,42.327657"
121,南通东昊汽车贸易有限公司,,513006,82033820,南通市城港路99号（南通市永兴路31号）,"120.830457,32.035082"
122,江苏东泉汽车销售有限公司,,518701,0518-85772333,连云港市解放东路318号振兴汽车城,"119.035021,33.650772"
123,山东世中实业有限公司,,531007,88674567,济南市历城区工业北路172号,"117.104387,36.722622"
124,桐乡市嘉伦汽车销售服务有限公司,,573803,0573-81883188,桐乡市振东新区中华东路与杏南路交叉口,"120.587054,30.623608"
125,温州铭豪汽车销售服务有限公司,,577702,85606666,温州市温州大道829号,"120.680263,27.969821"
126,佛山市顺德区泓图汽车贸易有限公司,,757001,22276168,佛山市顺德大良区105国道金榜汽车市场,"113.239554,22.86089"
127,新余市安瑞实业有限公司,,790701,6311888,新余市九鼎汽车市场4栋,"114.952686,27.845137"
128,宁夏众豪汽车销售服务有限公司,,951701,5686111,宁夏银川市兴庆区清河北街1039号通和汽车城C区20号楼7-10号,"106.305754,38.496132"
129,重庆国鑫汽车销售有限责任公司,,230804,62768181,重庆市南岸区六公里重庆旧车交易市场门口,"106.580435,29.501896"
130,承德吉沃汽车销售有限公司,,314801,5897888,承德市双桥区大石庙镇太平庄汽车城,"117.964636,40.93308"
131,衡水新纪元商贸有限责任公司,,318003,2632001,衡水市开发区昌明大街569号,"115.644703,37.745591"
134,开封市万宝汽车贸易有限公司,,378701,23877388,开封市金明区宋城路西段,"114.302502,34.792298"
135,三门峡市鼎鑫帝豪汽车销售服务有限公司,,398701,2365555,三门峡市湖滨区交口乡野鹿村（腾飞汽车城）,"111.177449,34.801576"
137,包头市天星汽车贸易有限公司,,472801,5111177,包头市稀土高新区稀土路南恒通金安公司院内（恒通汽车城）,"109.893061,40.636402"
138,徐州市全成汽车销售有限公司,,516702,85827777,徐州东三环路18号金三环汽配市场E2#,"117.230501,34.240719"
139,滁州科通汽车销售服务有限公司,,550701,2153666,滁州市金陵北路89号,"118.351052,32.272709"
141,岳阳帝豪汽车销售服务有限公司,,730701,8250788,岳阳市巴陵东路463号,"113.179903,29.375468"
143,清远市标竣汽车销售服务有限公司,,763002,6988777,清远市清远大道新城B33号区之一,"113.064854,23.665049"
144,柳州市鹏帆物资贸易有限公司,,772701,3728288,柳州市广汽路12号（广西汽车贸易园内）,"109.368598,24.314336"
145,高安市益源实业有限公司,,795002,5288981,江西省高安市高安大道,"115.412025,28.441174"
146,吉安市俊泽汽车贸易有限公司,,796701,2182818,吉安市青原区汽车文化产业园,"114.933491,27.034816"
147,安顺海常盛汽车贸易有限公司,,853006,33517699,贵州省安顺市汽车城,"105.947184,26.231012"
148,毕节海翔汽车贸易服务有限公司,,857002,8882999,毕节市贵毕大道汽车城,"105.386335,27.270364"
149,榆林市吉瑞通汽车销售服务有限公司,,912002,6664889,榆林市经济技术开发区草海则村生产路东,"109.738101,38.227422"
150,庆阳志源汽车销售服务有限公司,,934005,8229666,甘肃省庆阳市西峰区庆化大道北段汽车城对面,"107.629531,35.771059"
151,漯河市宏远汽车销售有限公司,,395002,2163339,漯河市湘江西路与嵩山路交叉口,"114.021262,33.561794"
152,河南博润汽车销售有限公司,,371807,60113339,郑州市花园北路河南汽车贸易中心(4S),"113.683459,34.871536"
153,洛阳车一路汽车销售服务有限公司,,379804,69928999,洛阳市洛龙区开元大道杜预街口,"112.412137,34.605805"
154,诸暨豪创汽车销售服务有限公司,,575701,87051000,诸暨市陶朱街道西二环路267号,"120.201846,29.734863"
155,绍兴和通汽车销售服务有限公司,,575001,88730700,浙江省绍兴市越城区陶堰镇东方汽车城吉利汽车4S店,"120.730029,30.024556"
156,青岛自由风汽车销售有限公司,,532702,87699666,李沧区黑龙江中路桃园段,"120.438252,36.208958"
174,临汾经济技术开发区绿岳汽车销售服务有限公司,,357802,2881666,临汾市城北汽车站往北（洪洞方向）2公里路西,"111.569294,36.139729"
178,运城市吉瑞豪汽车销售有限公司,,359006,2186266,山西省运城市黄河大道中段203号,"110.983245,35.070351"
181,运城市金泉汽车销售有限公司,,359701,6369577,运城市盐湖区十里长街中段凤英医院南,"110.984887,35.066776"
185,商丘华威汽车销售有限公司,,370003,2582222,商丘市民主西路与金桥路交叉口西50米路南,"115.60044,34.446261"
187,永城市汇龙汽车销售有限公司,,370801,5430111,永城市东城区芒山路南段与建材路交汇处,"116.42916,33.919912"
188,河南省华星汽车贸易有限公司,,371005,63788966,河南省郑州市文化路与北环路交叉口西南角,"113.670453,34.815537"
191,濮阳市豫保汽车销售服务有限公司,,371701,8928888,濮阳市京开大道622号,"115.057953,35.789234"
193,河南华驰汽车销售有限公司,,371703,60381666,郑州市金水区中州大道与连霍高速交叉口南500米,"113.700555,34.843586"
198,新乡市新通汽车销售服务有限公司,,373002,3522000,新乡市新飞大道与南环路交叉口南环汽车广场,"113.906397,35.266679"
201,新乡市广益汽车销售服务有限公司,,373701,5053777,新乡市新飞大道南段南环汽车广场A区1号,"113.906359,35.267466"
202,许昌永生汽车销售服务有限公司,,374002,3373999,许昌市魏都产业集聚区万通汽贸城北区,"113.812528,34.009742"
204,禹州市亿通汽车贸易有限公司,,374801,8275000,禹州市车站路中段,"113.466655,34.144193"
211,南阳华美汽车销售有限公司,,377803,83988111,南阳市信臣路与与新312国道交叉口向西100米路北,"112.504854,33.010978"
212,开封圆方汽车销售有限公司,,378001,0371-23700888,开封市金明区宋城大道21号,"114.294653,34.792528"
213,洛阳市宇豪贸易有限公司,,379001,65522566,河南省洛阳市九都路与启明南路交叉口南100米,"112.477881,34.64239"
214,洛阳裕得汽车贸易有限公司,,379701,65523111,洛阳市洛龙区林安汽车城,"112.47635,34.646511"
217,洛阳久富贸易有限公司,,379803,63601877,洛阳市九都东路名车苑汽车广场,"112.512893,34.684031"
220,焦作市中宇汽车销售有限公司,,391701,3565111,焦作市新区迎宾路沙河桥南300米路东,"113.270437,35.157138"
227,漯河广信汽车销售服务有限公司,,395701,3282999,漯河市汇源区107国道桂江路交叉口西200米路北,"114.001182,33.55849"
228,三门峡三圣汽车销售服务有限公司,,396002,0398-2189897,河南省三门峡市开发区机动车交易市场西南区,"111.174949,34.80184"
230,驻马店市有道汽车销售服务有限公司,,396701,2128989,驻马店市文明路与洪河大道交叉口（科三考场向北300米东）,"114.019943, 33.035875"
237,大连立成达商贸有限公司,,411005,39573458,大连市迎金路193号,"121.589887,39.008668"
238,大连弘光经贸有限公司,,411201,86541777,大连市甘井子区华北路170号,"121.593889,38.953027"
241,鞍山市众成汽车贸易有限公司,,412701,8403666,鞍山市千山区宁远镇南地号村,"122.931209,41.113513"
247,丹东市东泰汽车贸易服务有限公司,,415001,2155830,丹东市东港市汤池镇集贤村,"124.35719,40.127441"
252,营口葆丰汽车销售服务有限公司,,417701,7182666,辽宁营口市鲅鱼圈区青龙山大街中段（新客运站南200米）,"122.16586,40.259979"
256,阜新奉天汽车贸易有限公司,,418701,6282888,阜新市经济技术开发区海清路49号,"121.612161,41.99663"
260,盘锦融圣汽车销售有限责任公司,,427701,3205555,盘锦经济开发区中兴商贸园（辽河路）,"122.056759,41.193004"
