DIndex,DEALER_ID,DEALER_CODE,DEALER_NAME,REGISTRATION_NAME,CITY_ID,LONGITUDE,LATITUDE,ADDRESS,SALES_PHONE,AFTER_SALES_PHONE,RESCUE_PHONE,DLevel,city,province
535,b5a8b141-543b-48c2-9183-655c2fa7541b,DHUN02,广汽本田雨花店,长沙盾华汽车销售服务有限公司,2796d146-9c55-41a4-a10c-02c8589ce0fc,113.004,28.1216,长沙市雨花区韶山南路井湾子南行500米（湖南女子大学正对面）,0731-85684266,85311887,5575499,1,长沙,湖南
3,4ebd6a55-f692-428e-a5cc-28331bc6e8a8,DHEN08,广汽本田安华店,河南安华汽车销售服务有限公司,ab702551-c586-4064-8a71-87bf0b401e29,114.409,36.0498,河南省安阳市文峰区光明路与长江大道交叉口,0372-3650000,0372-3651111（3655555）,3655555,1,安阳,河南
4,843dddb1-6eea-4ee8-ab4f-9a730e68c242,DSC025,广汽本田安捷店,乐山安捷嘉信汽车销售服务有限公司,9c9da88d-10ac-42fd-906c-1355e6e02137,103.52781,29.59907,四川省乐山市市中区苏稽镇乐峨路777号,0833-2451363,0833-2450435(2450599),2450436,1,乐山,四川
5,acb29560-7d6c-4515-bc5d-406067987b78,DSXW03,广汽本田安利达店,宝鸡市安利达汽车销售服务有限公司,ddee83a0-a56b-4924-9750-766f83c21286,107.184,34.3694,陕西省宝鸡市东风路51号,0917-3200009,0917-3802890（3215218）,6861920,1,宝鸡,陕西
488,e2e1fbd4-2f44-4511-a3f1-9084f5071c7a,DAH003,广汽本田新站店,安徽天通汽车贸易有限公司,78b44cc0-780c-4044-8d84-7cf788d180a2,117.306,31.888,安徽省合肥市站前路6号,0551-4235666,0551-5260597（5260598）,4235999,1,合肥,安徽
7,71420cd8-8335-4746-ae2b-e4ab1bcc6f91,DAH001,广汽本田安田店铜陵分店,安徽安田汽车贸易有限公司铜陵分公司,9a98f177-fefd-4904-acdc-002fe6aa9ed8,117.813,30.9148,铜陵市铜都大道中段3366号,0562-2625596,0562-2625565,0551-3517999,2,铜陵,安徽
518,2ec36fbd-1f92-4259-9151-1740cbd9e0a6,DGD079,广汽本田易达店,深圳市易达通汽车工贸有限公司,649290cd-c789-4e2b-be5b-15a8ddb595c4,114.059,22.5714,深圳市龙华新区民治街道民康路1号龙华名车广场易达本田店,0755-83113273,0755-83117682,13724300028,1,深圳,广东
10,7c4cf1bb-0de5-4a9c-82c4-d842a63ae460,DJL010,广汽本田奥典店,四平市奥典汽车销售服务有限公司,66a5d8ce-95ef-4494-971e-ffe5973f2957,124.406,43.1581,吉林省四平市经济开发区开发大路740号,0434-6963018（6999000）,0434-6963018（6999333）,6999333,1,四平,吉林
11,938ee1d9-802b-47d7-93e0-da98056ae19e,DHUB08,广汽本田奥赛店,十堰奥赛汽车销售服务有限公司,0b1378a6-1c84-446a-8226-b2a45a926ae1,110.943,33.3573,十堰市茅箭区东风大道31号,0719-8283686,0719-8283691(8761886),8283699,1,十堰,湖北
203,5e495641-bd83-46a9-989a-bc6f59dbe4f3,DGX003,广汽本田华奥店,柳州市华奥汽车有限公司,5c144379-15e4-41bf-85f8-1dc3ea0ac6b7,109.434,24.2855,柳州市燎原路49号,0772-3119666,3117018,3127777,1,柳州,广西
13,d01ae806-4209-4ac0-a7f2-4535e243e6c2,DGX009,广汽本田白马店来宾分店,柳州市白马汽车销售服务有限公司来宾市分公司,28f6c4f5-3476-4285-ad0d-364a60d999e3,109.232,23.7506,来宾市盘古大道中116号,0772-4239111,0772-4277233,2696663,2,来宾,广西
522,0e20d268-41d5-408a-b8a9-7ed51be6d397,DSXW01,广汽本田银光店,陕西银光汽车贸易有限公司,c2eeefc5-01ed-4e3f-9009-51472dbc1ec6,108.935929,34.331992,西安市未央区明光路20号（丰树物流园内） ,029-86281006,"029-8628007,86229000",18991195119,1,西安,陕西
15,e48a9c87-eddf-4033-aaf1-18303fe82708,DJX016,广汽本田百瑞店,江西百瑞汽车销售服务有限公司,49ed550b-c743-460f-9b06-2e8624231efb,114.947117,27.822322,江西省新余市仙女湖区汽车产业园东北路99号,0790-6666650,0790-6666692,0790-6666692,1,新余,江西
561,3f5826d4-57cc-4171-910a-3a8bb74e4262,DBJ004,广汽本田中汽店,北京中汽京田汽车贸易有限公司,2383d31f-1404-4390-ba28-1843b15c59ea,116.228,39.8626,北京市丰台区张仪村甲1号,010-63862888（63860808）,010-63860808,18811059293,1,北京,北京
400,22305214-d55f-460e-8a0d-1a969d0ac0b2,DSC001,广汽本田三和店,四川三和汽车贸易有限责任公司,c0e4dfff-1046-48f1-9b59-977f1560ea19,104.039,30.6009,成都市高新区机场路新加坡工业园区新园南一路2号,028-85175588,85140470,85173333,1,成都,四川
491,e45a66ab-f940-4c1f-802d-486ef3e9bc46,DJS018,广汽本田信安店,张家港市信安汽车销售有限公司,1515c622-96a0-4083-9415-61c4218cbbee,120.579166,31.876958,张家港市杨舍镇人民东路28号,0512-56733161,5818757/56733165,58189618,1,苏州,江苏
21,6b2f3226-bdd4-417a-a99d-77026d20929a,DHUN09,广汽本田宝盛店,湘潭市宝盛汽车销售服务有限公司,ae3bb794-d826-46e2-bfc0-1c3608cd52ef,112.948,27.8519,湘潭市岳塘区河东大道168号汽车城,0731-52511111,0731-52536828（52536878）,2536808,1,湘潭,湖南
