坑ID,Name,DealersID,AddressArea,Province,City,Area,Address,BaiduMapLng,BaiduMapLat,Telphone,BusinessHours,Sites,SiteID,Brand,CanTestDrive,cars,ShopSaleTel,ShopID
818,安徽元盛汽车销售服务有限公司,安徽元盛汽车销售服务有限公司,,安徽省,合肥市,包河区,安徽省合肥市包河区安天机电2号楼(长春街与长白山路交口),117.3495026,31.80604935,,8:00-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0551-65796788,34010
811,安徽源润汽车服务有限公司,安徽源润汽车服务有限公司,,安徽省,蚌埠市,禹会区,安徽省蚌埠市迎宾大道西侧蚌埠国际汽车城,117.3190002,32.86803055,,8:30-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0552-4022666,34030
1280,安康奋发实业有限公司,安康奋发实业有限公司,,陕西省,安康市,汉滨区,陕西省安康市高新技术产业开发区钻石东路2号,108.9994965,32.72309875,,8:30-18:00,0,0,长城%2c哈弗,1,,0915-3313333,61090
810,安庆市联友汽车贸易有限责任公司,安庆市联友汽车贸易有限责任公司,,安徽省,安庆市,大观区,安徽省安庆市大观区丁香路06号,116.9810028,30.53248978,,8:00-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0556-5228899,34080
974,安阳市正兴汽车销售服务有限公司,安阳市正兴汽车销售服务有限公司,,河南省,安阳市,文峰区,河南省安阳市长江大道与光明路交叉口向北100米路西豫北汽车市场,114.4205017,36.05509949,,9:00-17:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0372-2167601/2167619,41050
1146,鞍山哲盛汽车销售服务有限公司,鞍山哲盛汽车销售服务有限公司,,辽宁省,鞍山市,千山区,辽宁省鞍山市千山区建设大道591号,122.9550018,41.16291046,,8:30-17:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0412-8591111,21030
1168,巴彦淖尔市宏途汽车销售有限责任公司,巴彦淖尔市宏途汽车销售有限责任公司,,内蒙古自治区,巴彦淖尔市,临河区,内蒙古巴彦淖尔市经济开发区(现代农畜产品B型保税物流园区),107.4237976,40.7691803,,8:00--18:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0478-8912888,15080
1343,巴州邦普商贸有限公司,巴州邦普商贸有限公司,,新疆维吾尔自治区,巴音郭楞蒙古自治州,库尔勒市,库尔勒石化大道74号神州汽车城9栋1-6号,86.22102356,41.72790909,,10:00-19:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0996-2102111,65280
958,霸州市北方伟业汽车销售有限公司,霸州市北方伟业汽车销售有限公司,河北省%3a廊坊市%3a214,河北省,廊坊市,,河北省霸州市东环路小魏营村东侧,116.4352036,39.13574982,,08:30-17:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0316-7881888,13100
1078,白山市隆泰汽车销售服务有限公司,白山市隆泰汽车销售服务有限公司,,吉林省,白山市,市辖区,白山市浑江区北安大街7366号,126.479599,41.97616959,,8:00-17:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0439-5023999,22060
856,白银竞成汽车销售服务有限公司,白银竞成汽车销售服务有限公司,,甘肃省,白银市,白银区,甘肃省白银市白银区银西工业园,104.1305008,36.51152039,,9:30-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0943-8288666,62040
910,百色市森海汽车销售服务有限公司,百色市森海汽车销售服务有限公司,,广西壮族自治区,百色市,右江区,广西百色市右江区大旺路1-3号B区07座,106.6744003,23.86206055,,8:30-18:00,0,0,长城%2c哈弗,1,,0776-2812999,45100
1171,包头市辰业汽贸有限公司,包头市辰业汽贸有限公司,,内蒙古自治区,包头市,青山区,内蒙古包头市稀土高新技术开发区东端,109.846199,40.64712143,,8:20-17:30,0,0,长城%2c哈弗,1,,0472-6140111,15020
1172,包头市驰久汽车销售有限公司,包头市驰久汽车销售有限公司,内蒙古自治区%3a包头市%3a379,内蒙古自治区,包头市,,内蒙古自治区包头市稀土高新区稀土路7号（西捷物流公司院内）,109.8906021,40.63792038,,9:10-17:30,0,0,长城%2c哈弗,1,"125,126,522,44,411",0472-6166678,15020
1281,宝鸡迪鑫汽车销售服务有限公司,宝鸡迪鑫汽车销售服务有限公司,,陕西省,宝鸡市,渭滨区,陕西省宝鸡市高新十二路西23号,107.2904968,34.34700012,,8:30-18:00,0,0,长城%2c哈弗,1,"125,126,522,44,411",0917-3157318,61030
