Id,DealerSN,DisName,CityID,Tel,Sales_tel,open_service,Lng,Lat,Address,Dealer_type,DisSort
10483,D0117S01,连振高超房山店,12122,,010-89331988,0,116.016812,39.709906,北京市房山区城关街道兴东大街135号,5,卫星店
10484,D0115S01,东方金硕欧德宝店,12122,,010-80750019,0,116.31778,40.077502,北京市昌平区回龙观欧德宝国际汽车城汽车大道九展厅2号,5,卫星店
10485,D0107S01,瑞通嘉业望京桥店,12122,,010-64376880,0,116.461986,39.989163,北京市朝阳区望京桥十字口甲39号,5,卫星店
11404,D2116,北京京汉新港汽车销售服务有限公司,12122,010-67521678,010-67539249,0,116.385489,39.862775,北京市丰台区南三环西路甲2号,1,4s店
11405,D2117,北京鹏奥贸易有限公司,12122,010-62856619,010-62881668/010-88461126,1, 116.239109,39.952913,北京市海淀区巨山路99-4号（合盛汽车园）,1,4s店
11406,D2118,北京市信发通达汽车销售有限公司,12122,010-63734867,010-63738888,0,116.31894,39.841856,北京市丰台区花乡辛庄86号,1,4s店
11407,D2144,北京燕盛隆汽车维修有限公司,12122,010-67477263,010-67477998,0,116.489591,39.853712,北京市朝阳区十八里店乡十八里店村876号,2,4s店
11408,D2120,北京胜鸿都汽车销售服务有限公司,12122,010-64391885/010-64392288,01064392288/1135/1136/1137/1138,0,116.486409,40.019577,北京市朝阳区利泽东园306号,1,4s店
11409,D2121,北京博伟恒业特约销售服务店,12122,010-67605001,010-67605012,0,116.459601,39.869053,北京市朝阳区十里河白墙子266号,1,4s店
11410,D2122,北京瑞通嘉业汽车销售服务有限公司,12122,010-65046995/010-65046993,010-85236880/010-85236992,0,116.462989,39.936837,北京市工体北路6号凯富大厦首层,2,4s店
11411,D2123,北京冀财奥汽车贸易有限公司,12122,010-67861991,010-67888185/67886186,0,116.512796,39.819056,北京市北京经济技术开发区东环北路北1号西侧,2,4s店
11412,D2125,北京通铭伟业汽车销售有限公司,12122,010-62915559-116/117/118,010-82412454/62915559,0,116.364977,40.025076,北京市朝阳区德外花虎沟99号,1,4s店
