No,DealerCreatedTime,Point,ZanCount,QQhref,Longitude,Latitude,DealerGuidId,Medal,IS_E,DealerId,Name,DealerTag,Rate,SalesPhone,Address,Website,Email,Summery,ShareToMicroBlog,TianMaoWebsite,CheBaBaWebsite,province,city
E2113,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=1261559854&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,117.064921,30.574332,75a89bfa-4027-460b-a466-3f8b78648ee6,,False,,安庆恒业,,0,0556-5228158,安徽省安庆市石塘湖路10号,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/anqing/aqhye,448106461@qq.com,,,,http://www.chebaba.com/dealer_S2015072210514.htm,安徽省,安庆市
E2102,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=71940964&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,117.313755,32.867035,ab0f0b33-374f-45b2-99b8-057c0875cf41,,False,,蚌埠皖之星,,0,0552-3713222,蚌埠市高新区迎宾大道西侧中环线南35号,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/bengbu/bbwzxing,bengbuwanzhixing@dfl.com.cn,,,,http://www.chebaba.com/dealer_S2015072210254.htm,安徽省,蚌埠市
E2130,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,115.7793,33.85672,0f4f1b1e-06cf-4e49-bbc6-fe9359539230,,False,,亳州亚夏谯城,,0,0558-5656088,安徽省亳州市谯城区亳州芜湖工业园105国道东侧亚夏国际汽车城,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/bozhou/bzyxjcheng,bozhouyaxiaqiaocheng@dfl.com.cn,,,,http://www.chebaba.com/dealer_S2015072201088.htm,安徽省,亳州市
E2132,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,117.529987,30.62242,cc234781-b37a-4e9c-821c-3a1e35426bfe,,False,,池州顺达贵池,,0,0566-2829866,安徽省池州市站前区青莲路东风日产顺达贵池专营店,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/chizhoushi/czsdgchi,Nissan0566@163.com,,,,http://www.chebaba.com/dealer_S2015072201056.htm,安徽省,池州市
E2123,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=1220622330&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,118.355482,32.272051,aa153b31-9190-498f-9d40-d302c491dd36,,False,,滁州正和,,0,0550-3015333,安徽省滁州市凤阳北路588号,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/chuzhou/czzhe,chuzhouzhenghe-dmc@dfl.com.cn,,,,http://www.chebaba.com/dealer_S2015072210726.htm,安徽省,滁州市
E2127,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=2192047408&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,115.849925,32.871379,fe597273-eb19-4245-b73c-1f0f6d850a83,,False,,阜阳中源开发区,,0,0558-2539111,安徽省阜阳市阜阳开发区105国道南侧,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/fuyang/fyzykfqu,fuyangzhongyuankaifaqu@dfl.com.cn,,,,http://www.chebaba.com/dealer_S2015072210990.htm,安徽省,阜阳市
E2101,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=963557274&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,117.183181,31.858507,7c5c22e9-ac26-4cc5-8387-dd19ddf5b45f,,False,,合肥伟业,,0,0551-63522222，0551-63525555,合肥市长江西路名车广场1068号(奥迪正后方)。合肥市合作化南路1号（老建工学院斜对面）,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/hefei/hfwye,hefeiweiye@dfl.com.cn,,,,http://www.chebaba.com/dealer_S2015072210339.htm,安徽省,合肥市
E2105,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=2456344788&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,117.35092,31.80159,3b886dc5-6364-47ae-b7d7-a26e2d095e77,,False,,合肥伟盛行,,0,0551-63875111,安徽省合肥市包河区纬二路12号,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/hefei/hfwsxing,hefeiweishenghang@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210616.htm,安徽省,合肥市
E2111,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=491830727&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,117.336684,31.890221,520515b4-573e-4622-b4b8-f0d829043004,,False,,合肥风之星,,0,0551-64257000,合肥市瑶海区安徽国际汽车城6号 东风日产合肥风之星专营店（北二环与东二环交口西南）,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/hefei/hffzxing,491830727@qq.com,,,,http://www.chebaba.com/dealer_S2015072210294.htm,安徽省,合肥市
E2107,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=424475609&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,117.270317,31.925893,463cbb48-4b28-4bd0-904d-dbc87bdd2847,,False,,合肥恒信东顺合肥北,,0,0551-62631777,合肥市庐阳区蒙城北路与电厂路交口南150米路西,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/hefei/hxdshfbei,424475609@qq.com,,,,http://www.chebaba.com/dealer_S2015072201018.htm,安徽省,合肥市
