category,name,brand,id,address,district,city,province,brand-info
4S店,祥云奥迪（国企）,奥迪,3802006,北京市朝阳区京藏高速（原八达岭高速）999急...,朝阳区,北京市,北京,"进口Audi Sport,进口奥迪,进口奥迪新能源,一汽-大众奥迪"
4S店,北京奥迪金港店,奥迪,100040078,北京市朝阳区金盏乡东苇路北京金港汽车公园...,朝阳区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
4S店,北京运通博奥,奥迪,3802004,北京市朝阳区东四环南路366号（小武基桥西南...,朝阳区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
4S店,北京奥吉通,奥迪,50001946,北京市朝阳区朝阳北路甲45号,朝阳区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
4S店,博瑞祥星奥迪,奥迪,100073870,北京市朝阳区百子湾路18号,朝阳区,北京市,北京,"进口Audi Sport,进口奥迪,进口奥迪新能源,一汽-大众奥迪"
4S店,北京德奥达,奥迪,50000004,北京市朝阳区北四环东路太阳宫十字口甲1号...,朝阳区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
4S店,名尊奥翔奥迪,奥迪,100040921,北京市朝阳区王四营桥马房寺路331号（京沈高...,朝阳区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
4S店,北京华阳奥通,奥迪,100043584,北京市朝阳区来广营乡北苑东路顾家庄桥北300...,朝阳区,北京市,北京,"进口Audi Sport,进口奥迪,进口奥迪新能源,一汽-大众奥迪"
4S店,首汽腾迪,奥迪,50000001,北京市海淀区紫竹院南路5号,海淀区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
4S店,北京寰宇恒通,奥迪,50001941,北京市海淀区闵庄路11号,海淀区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
4S店,百得利海淀奥迪,奥迪,100056442,北京市海淀区西四环定慧北桥向西10米路北,海淀区,北京市,北京,"进口Audi Sport,进口奥迪,进口奥迪新能源,一汽-大众奥迪"
4S店,国服信奥众,奥迪,100060684,北京市丰台区南四环东路榴乡桥东200米路北,丰台区,北京市,北京,"进口奥迪,一汽-大众奥迪"
4S店,北京安洋伟业,奥迪,100051064,北京市大兴区黄村镇狼垡芦花路临52号,丰台区,北京市,北京,"进口Audi Sport,进口奥迪,进口奥迪新能源,一汽-大众奥迪"
4S店,北京中润发奥迪,奥迪,100026163,北京市西三环丽泽路99号,丰台区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
4S店,运通嘉奥,奥迪,100047063,北京市顺义区赵全营镇牛板路板桥段43号 运通...,顺义区,北京市,北京,"进口Audi Sport,进口奥迪,进口奥迪新能源,一汽-大众奥迪"
4S店,北京新丰泰博奥,奥迪,100059801,北京市顺义区杜杨北街19号（机场东路与杜杨...,顺义区,北京市,北京,"进口奥迪,一汽-大众奥迪"
4S店,兴奥晟通奥迪,奥迪,100058871,北京市大兴区西红门镇中鼎路21-1号,大兴区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
4S店,北京百得利奥迪,奥迪,100017149,北京经济技术开发区东环北路一号,大兴区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
4S店,北京东方华奥,奥迪,100045055,北京市通州区梨园南街99号,通州,北京市,北京,"进口Audi Sport,进口奥迪,进口奥迪新能源,一汽-大众奥迪"
4S店,奥之旅奥迪,奥迪,100041819,北京市房山区阎村镇澎湃汽车城奥迪城市展厅,房山区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
特许店,合利通赢奥迪,奥迪,100017542,北京市朝阳区安贞华联北50米仟村商务大楼一...,西城区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
4S店,北京正德永成,奥迪,100045049,北京市昌平区回龙观欧德宝国际汽车城,昌平区,北京市,北京,"进口奥迪,一汽-大众奥迪"
4S店,北京国服信奥兴,奥迪,100017922,北京市石景山区古城大街北京国际汽车贸易服...,石景山区,北京市,北京,"进口Audi Sport,进口奥迪,一汽-大众奥迪"
